00:00:02.697 ->  SD OK
00:00:02.725 ->  BREAK STOP
00:00:02.966 ->  Controller Set
00:00:04.715 ->  START
00:00:04.740 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.771 ->  Battery :12.12 V
00:00:04.815 ->  Speed:0.00 km/hr 
00:00:04.861 ->  Battery :12.12 V
00:00:04.905 ->  Speed:0.00 km/hr 
00:00:04.953 ->  Battery :12.12 V
00:00:04.997 ->  Speed:0.00 km/hr 
00:00:05.044 ->  Battery :12.14 V
00:00:05.088 ->  Speed:0.00 km/hr 
00:00:05.135 ->  Battery :12.14 V
00:00:05.178 ->  Speed:0.00 km/hr 
00:00:05.225 ->  Battery :12.12 V
00:00:05.269 ->  Speed:0.00 km/hr 
00:00:05.317 ->  Battery :12.14 V
00:00:05.360 ->  Speed:0.00 km/hr 
00:00:05.407 ->  Battery :12.15 V
00:00:05.451 ->  Speed:0.00 km/hr 
00:00:05.499 ->  Battery :12.12 V
00:00:05.542 ->  Speed:0.00 km/hr 
00:00:05.590 ->  Battery :12.12 V
00:00:05.634 ->  Speed:0.00 km/hr 
00:00:05.681 ->  Battery :12.15 V
00:00:05.725 ->  Speed:0.00 km/hr 
00:00:05.772 ->  Battery :12.17 V
00:00:05.815 ->  Speed:0.00 km/hr 
00:00:05.862 ->  Battery :12.15 V
00:00:05.909 ->  Speed:0.00 km/hr 
00:00:05.953 ->  Battery :12.12 V
00:00:05.997 ->  Speed:0.00 km/hr 
00:00:06.045 ->  Battery :12.17 V
00:00:06.088 ->  Speed:0.00 km/hr 
00:00:06.135 ->  Battery :12.17 V
00:00:06.179 ->  Speed:0.00 km/hr 
00:00:06.226 ->  Battery :12.17 V
00:00:06.270 ->  Speed:0.00 km/hr 
00:00:06.355 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
00:00:06.388 ->  Battery :12.14 V
00:00:06.432 ->  Speed:0.00 km/hr 
00:00:06.637 ->  (95,94,95,93,0.00,100,0)	FORWARD     93　94　95　
00:00:06.663 ->  Battery :12.14 V
00:00:06.707 ->  Speed:0.00 km/hr 
00:00:06.912 ->  (97,95,97,95,0.00,100,0)	FORWARD     95　96　97　
00:00:06.935 ->  Battery :12.14 V
00:00:06.978 ->  Speed:0.00 km/hr 
00:00:07.064 ->  (98,97,97,97,0.00,100,0)	FORWARD     97　
00:00:07.087 ->  Battery :12.11 V
00:00:07.131 ->  Speed:0.00 km/hr 
00:00:07.215 ->  Battery :12.06 V
00:00:07.258 ->  Speed:0.00 km/hr 
00:00:07.342 ->  Battery :12.14 V
00:00:07.401 ->  Speed:0.00 km/hr 
00:00:07.488 ->  Battery :12.15 V
00:00:07.531 ->  Speed:0.00 km/hr 
00:00:07.615 ->  Battery :12.14 V
00:00:07.659 ->  Speed:2.12 km/hr 
