00:00:02.835 ->  SD OK~
00:00:02.913 ->  BREAK STOP~
00:00:03.170 ->  Controller Err~
00:00:04.428 ->  START~
00:00:04.483 ->  ERROR OCCUR  ~
00:00:04.538 ->  BREAK STOP  ~
00:00:04.594 ->  (122,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:04.649 ->  ERROR OCCUR  ~
00:00:04.704 ->  BREAK STOP  ~
00:00:04.761 ->  (111,122,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:04.815 ->  ERROR OCCUR  ~
00:00:04.871 ->  BREAK STOP  ~
00:00:04.927 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.982 ->  ERROR OCCUR  ~
00:00:05.040 ->  BREAK STOP  ~
00:00:05.097 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.152 ->  ERROR OCCUR  ~
00:00:05.207 ->  BREAK STOP  ~
00:00:05.264 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.319 ->  ERROR OCCUR  ~
00:00:05.373 ->  BREAK STOP  ~
00:00:05.429 ->  ERROR OCCUR  ~
00:00:05.484 ->  BREAK STOP  ~
00:00:05.539 ->  ERROR OCCUR  ~
00:00:05.594 ->  BREAK STOP  ~
00:00:05.651 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.706 ->  ERROR OCCUR  ~
00:00:05.764 ->  BREAK STOP  ~
00:00:05.820 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.875 ->  ERROR OCCUR  ~
00:00:05.931 ->  BREAK STOP  ~
00:00:05.986 ->  ERROR OCCUR  ~
00:00:06.040 ->  BREAK STOP  ~
00:00:06.097 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.153 ->  ERROR OCCUR  ~
00:00:06.207 ->  BREAK STOP  ~
00:00:06.262 ->  ERROR OCCUR  ~
00:00:06.317 ->  BREAK STOP  ~
00:00:06.374 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.429 ->  ERROR OCCUR  ~
00:00:06.487 ->  BREAK STOP  ~
00:00:06.544 ->  (108,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:06.598 ->  ERROR OCCUR  ~
00:00:06.653 ->  BREAK STOP  ~
00:00:06.710 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.766 ->  ERROR OCCUR  ~
00:00:06.820 ->  BREAK STOP  ~
00:00:06.878 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.933 ->  ERROR OCCUR  ~
00:00:06.987 ->  BREAK STOP  ~
00:00:07.045 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.100 ->  ERROR OCCUR  ~
00:00:07.157 ->  BREAK STOP  ~
00:00:07.213 ->  ERROR OCCUR  ~
00:00:07.267 ->  BREAK STOP  ~
00:00:07.322 ->  ERROR OCCUR  ~
00:00:07.376 ->  BREAK STOP  ~
00:00:07.434 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.489 ->  ERROR OCCUR  ~
00:00:07.543 ->  BREAK STOP  ~
00:00:07.601 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.656 ->  ERROR OCCUR  ~
00:00:07.710 ->  BREAK STOP  ~
00:00:07.768 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.823 ->  ERROR OCCUR  ~
00:00:07.880 ->  BREAK STOP  ~
00:00:07.936 ->  ERROR OCCUR  ~
00:00:07.990 ->  BREAK STOP  ~
00:00:08.045 ->  ERROR OCCUR  ~
00:00:08.100 ->  BREAK STOP  ~
00:00:08.158 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.213 ->  ERROR OCCUR  ~
00:00:08.267 ->  BREAK STOP  ~
00:00:08.339 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.394 ->  ERROR OCCUR  ~
00:00:08.449 ->  BREAK STOP  ~
00:00:08.504 ->  ERROR OCCUR  ~
00:00:08.559 ->  BREAK STOP  ~
00:00:08.614 ->  ERROR OCCUR  ~
00:00:08.672 ->  BREAK STOP  ~
00:00:08.729 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.784 ->  ERROR OCCUR  ~
00:00:08.839 ->  BREAK STOP  ~
00:00:08.896 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.951 ->  ERROR OCCUR  ~
00:00:09.007 ->  BREAK STOP  ~
00:00:09.063 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.119 ->  ERROR OCCUR  ~
00:00:09.174 ->  BREAK STOP  ~
00:00:09.231 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.286 ->  ERROR OCCUR  ~
00:00:09.344 ->  BREAK STOP  ~
00:00:09.399 ->  ERROR OCCUR  ~
00:00:09.453 ->  BREAK STOP  ~
00:00:09.508 ->  ERROR OCCUR  ~
00:00:09.563 ->  BREAK STOP  ~
00:00:09.620 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.675 ->  ERROR OCCUR  ~
00:00:09.730 ->  BREAK STOP  ~
00:00:09.787 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.842 ->  ERROR OCCUR  ~
00:00:09.896 ->  BREAK STOP  ~
00:00:09.952 ->  ERROR OCCUR  ~
00:00:10.007 ->  BREAK STOP  ~
00:00:10.062 ->  ERROR OCCUR  ~
00:00:10.119 ->  BREAK STOP  ~
00:00:10.176 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.231 ->  ERROR OCCUR  ~
00:00:10.287 ->  BREAK STOP  ~
00:00:10.343 ->  (107,105,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:10.398 ->  ERROR OCCUR  ~
00:00:10.452 ->  BREAK STOP  ~
00:00:10.510 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.565 ->  ERROR OCCUR  ~
00:00:10.619 ->  BREAK STOP  ~
00:00:10.677 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.732 ->  ERROR OCCUR  ~
00:00:10.789 ->  BREAK STOP  ~
00:00:10.847 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.902 ->  ERROR OCCUR  ~
00:00:10.957 ->  BREAK STOP  ~
00:00:11.014 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.069 ->  ERROR OCCUR  ~
00:00:11.124 ->  BREAK STOP  ~
00:00:11.180 ->  ERROR OCCUR  ~
00:00:11.235 ->  BREAK STOP  ~
00:00:11.291 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.346 ->  ERROR OCCUR  ~
00:00:11.402 ->  BREAK STOP  ~
00:00:11.457 ->  ERROR OCCUR  ~
00:00:11.514 ->  BREAK STOP  ~
00:00:11.570 ->  ERROR OCCUR  ~
00:00:11.624 ->  BREAK STOP  ~
00:00:11.680 ->  ERROR OCCUR  ~
00:00:11.735 ->  BREAK STOP  ~
00:00:11.792 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.847 ->  ERROR OCCUR  ~
00:00:11.901 ->  BREAK STOP  ~
00:00:11.959 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.014 ->  ERROR OCCUR  ~
00:00:12.069 ->  BREAK STOP  ~
00:00:12.125 ->  ERROR OCCUR  ~
00:00:12.179 ->  BREAK STOP  ~
00:00:12.236 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.295 ->  ERROR OCCUR  ~
00:00:12.349 ->  BREAK STOP  ~
00:00:12.406 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.462 ->  ERROR OCCUR  ~
00:00:12.517 ->  BREAK STOP  ~
00:00:12.572 ->  ERROR OCCUR  ~
00:00:12.626 ->  BREAK STOP  ~
00:00:12.684 ->  (107,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:12.739 ->  ERROR OCCUR  ~
00:00:12.793 ->  BREAK STOP  ~
00:00:12.851 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.906 ->  ERROR OCCUR  ~
00:00:12.963 ->  BREAK STOP  ~
00:00:13.021 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.076 ->  ERROR OCCUR  ~
00:00:13.131 ->  BREAK STOP  ~
00:00:13.187 ->  ERROR OCCUR  ~
00:00:13.241 ->  BREAK STOP  ~
00:00:13.298 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.353 ->  ERROR OCCUR  ~
00:00:13.409 ->  BREAK STOP  ~
00:00:13.464 ->  ERROR OCCUR  ~
00:00:13.518 ->  BREAK STOP  ~
00:00:13.574 ->  ERROR OCCUR  ~
00:00:13.629 ->  BREAK STOP  ~
00:00:13.686 ->  ERROR OCCUR  ~
00:00:13.742 ->  BREAK STOP  ~
00:00:13.799 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.854 ->  ERROR OCCUR  ~
00:00:13.908 ->  BREAK STOP  ~
00:00:13.966 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.021 ->  ERROR OCCUR  ~
00:00:14.076 ->  BREAK STOP  ~
00:00:14.132 ->  ERROR OCCUR  ~
00:00:14.186 ->  BREAK STOP  ~
00:00:14.241 ->  ERROR OCCUR  ~
00:00:14.297 ->  BREAK STOP  ~
00:00:14.354 ->  (108,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.411 ->  ERROR OCCUR  ~
00:00:14.467 ->  BREAK STOP  ~
00:00:14.522 ->  ERROR OCCUR  ~
00:00:14.576 ->  BREAK STOP  ~
00:00:14.633 ->  (106,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.689 ->  ERROR OCCUR  ~
00:00:14.744 ->  BREAK STOP  ~
00:00:14.799 ->  ERROR OCCUR  ~
00:00:14.854 ->  BREAK STOP  ~
00:00:14.909 ->  ERROR OCCUR  ~
00:00:14.964 ->  BREAK STOP  ~
00:00:15.021 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.077 ->  ERROR OCCUR  ~
00:00:15.131 ->  BREAK STOP  ~
00:00:15.191 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.246 ->  ERROR OCCUR  ~
00:00:15.301 ->  BREAK STOP  ~
00:00:15.356 ->  ERROR OCCUR  ~
00:00:15.411 ->  BREAK STOP  ~
00:00:15.466 ->  ERROR OCCUR  ~
00:00:15.520 ->  BREAK STOP  ~
00:00:15.578 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.633 ->  ERROR OCCUR  ~
00:00:15.687 ->  BREAK STOP  ~
00:00:15.745 ->  (107,105,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:15.800 ->  ERROR OCCUR  ~
00:00:15.854 ->  BREAK STOP  ~
00:00:15.913 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.969 ->  ERROR OCCUR  ~
00:00:16.024 ->  BREAK STOP  ~
00:00:16.080 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:16.136 ->  ERROR OCCUR  ~
00:00:16.191 ->  BREAK STOP  ~
00:00:16.246 ->  ERROR OCCUR  ~
00:00:16.301 ->  BREAK STOP  ~
00:00:16.358 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:16.413 ->  ERROR OCCUR  ~
00:00:16.467 ->  BREAK STOP  ~
00:00:16.525 ->  (108,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:16.582 ->  ERROR OCCUR  ~
00:00:16.637 ->  BREAK STOP  ~
00:00:16.693 ->  ERROR OCCUR  ~
00:00:16.747 ->  BREAK STOP  ~
00:00:16.802 ->  ERROR OCCUR  ~
00:00:16.858 ->  BREAK STOP  ~
00:00:16.915 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:16.970 ->  ERROR OCCUR  ~
00:00:17.025 ->  BREAK STOP  ~
00:00:17.082 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.137 ->  ERROR OCCUR  ~
00:00:17.192 ->  BREAK STOP  ~
00:00:17.249 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.307 ->  ERROR OCCUR  ~
00:00:17.362 ->  BREAK STOP  ~
00:00:17.418 ->  ERROR OCCUR  ~
00:00:17.472 ->  BREAK STOP  ~
00:00:17.529 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.585 ->  ERROR OCCUR  ~
00:00:17.640 ->  BREAK STOP  ~
00:00:17.695 ->  ERROR OCCUR  ~
00:00:17.750 ->  BREAK STOP  ~
00:00:17.805 ->  ERROR OCCUR  ~
00:00:17.860 ->  BREAK STOP  ~
00:00:17.916 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:17.973 ->  ERROR OCCUR  ~
00:00:18.027 ->  BREAK STOP  ~
00:00:18.087 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.143 ->  ERROR OCCUR  ~
00:00:18.197 ->  BREAK STOP  ~
00:00:18.252 ->  ERROR OCCUR  ~
00:00:18.308 ->  BREAK STOP  ~
00:00:18.363 ->  ERROR OCCUR  ~
00:00:18.417 ->  BREAK STOP  ~
00:00:18.475 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:18.530 ->  ERROR OCCUR  ~
00:00:18.585 ->  BREAK STOP  ~
