00:00:02.762 ->  SD OK
00:00:02.811 ->  BREAK STOP
00:00:03.066 ->  Controller Set
00:00:04.830 ->  START
00:00:04.867 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:05.103 ->  Battery :1.04 V
00:00:05.163 ->  Speed:0.00 km/hr 
00:00:05.198 ->  Battery :1.01 V
00:00:05.258 ->  Speed:0.00 km/hr 
00:00:05.294 ->  Battery :1.01 V
00:00:05.353 ->  Speed:0.00 km/hr 
00:00:05.390 ->  Battery :1.04 V
00:00:05.448 ->  Speed:0.00 km/hr 
00:00:05.485 ->  Battery :1.04 V
00:00:05.543 ->  Speed:0.00 km/hr 
00:00:05.583 ->  Battery :1.02 V
00:00:05.643 ->  Speed:0.00 km/hr 
00:00:05.679 ->  Battery :1.01 V
00:00:05.738 ->  Speed:0.00 km/hr 
00:00:05.774 ->  Battery :1.04 V
00:00:05.833 ->  Speed:0.96 km/hr 
00:00:06.145 ->  Battery :1.05 V
00:00:06.204 ->  Speed:0.00 km/hr 
00:00:06.240 ->  Battery :1.04 V
00:00:06.299 ->  Speed:0.00 km/hr 
00:00:06.335 ->  Battery :1.04 V
00:00:06.394 ->  Speed:0.00 km/hr 
00:00:06.431 ->  Battery :1.04 V
00:00:06.491 ->  Speed:0.00 km/hr 
00:00:06.526 ->  Battery :1.01 V
00:00:06.589 ->  Speed:0.00 km/hr 
00:00:06.625 ->  Battery :1.02 V
00:00:06.684 ->  Speed:0.00 km/hr 
00:00:06.721 ->  Battery :1.04 V
00:00:06.780 ->  Speed:0.00 km/hr 
00:00:06.816 ->  Battery :1.04 V
00:00:06.876 ->  Speed:0.00 km/hr 
00:00:06.913 ->  Battery :1.04 V
00:00:06.971 ->  Speed:0.00 km/hr 
00:00:07.008 ->  Battery :1.05 V
00:00:07.067 ->  Speed:0.00 km/hr 
00:00:07.104 ->  Battery :1.04 V
00:00:07.162 ->  Speed:0.00 km/hr 
00:00:07.199 ->  Battery :1.04 V
00:00:07.259 ->  Speed:0.00 km/hr 
00:00:07.298 ->  Battery :1.04 V
00:00:07.357 ->  Speed:0.00 km/hr 
00:00:07.422 ->  Battery :1.04 V
00:00:07.482 ->  Speed:0.00 km/hr 
00:00:07.575 ->  Battery :1.01 V
00:00:07.633 ->  Speed:0.00 km/hr 
00:00:07.726 ->  Battery :1.01 V
00:00:07.784 ->  Speed:0.00 km/hr 
00:00:07.877 ->  Battery :1.02 V
00:00:07.936 ->  Speed:0.00 km/hr 
00:00:08.028 ->  Battery :1.01 V
00:00:08.086 ->  Speed:0.00 km/hr 
00:00:08.179 ->  Battery :1.02 V
00:00:08.238 ->  Speed:0.00 km/hr 
00:00:08.330 ->  Battery :1.02 V
00:00:08.389 ->  Speed:0.00 km/hr 
00:00:08.480 ->  Battery :1.02 V
00:00:08.539 ->  Speed:0.00 km/hr 
00:00:08.632 ->  Battery :1.02 V
00:00:08.690 ->  Speed:0.00 km/hr 
00:00:08.782 ->  Battery :1.02 V
00:00:08.842 ->  Speed:0.00 km/hr 
00:00:08.934 ->  Battery :1.02 V
00:00:08.993 ->  Speed:0.00 km/hr 
00:00:09.084 ->  Battery :1.02 V
00:00:09.144 ->  Speed:0.00 km/hr 
00:00:09.236 ->  Battery :1.01 V
00:00:09.295 ->  Speed:0.00 km/hr 
00:00:09.387 ->  Battery :1.02 V
00:00:09.448 ->  Speed:0.00 km/hr 
00:00:09.538 ->  Battery :1.02 V
00:00:09.597 ->  Speed:0.00 km/hr 
00:00:09.689 ->  Battery :1.01 V
00:00:09.748 ->  Speed:0.00 km/hr 
00:00:09.840 ->  Battery :1.01 V
00:00:09.900 ->  Speed:0.00 km/hr 
00:00:09.991 ->  Battery :1.02 V
00:00:10.050 ->  Speed:0.00 km/hr 
00:00:10.142 ->  Battery :1.02 V
00:00:10.202 ->  Speed:0.00 km/hr 
00:00:10.293 ->  Battery :1.02 V
00:00:10.352 ->  Speed:0.00 km/hr 
00:00:10.443 ->  Battery :1.02 V
00:00:10.503 ->  Speed:0.00 km/hr 
00:00:10.595 ->  Battery :1.04 V
00:00:10.654 ->  Speed:0.00 km/hr 
00:00:10.745 ->  Battery :1.01 V
00:00:10.805 ->  Speed:0.00 km/hr 
00:00:10.897 ->  Battery :1.01 V
00:00:10.956 ->  Speed:0.00 km/hr 
00:00:11.047 ->  Battery :1.02 V
00:00:11.107 ->  Speed:0.00 km/hr 
00:00:11.199 ->  Battery :1.02 V
00:00:11.258 ->  Speed:0.00 km/hr 
00:00:11.350 ->  Battery :1.01 V
00:00:11.409 ->  Speed:0.00 km/hr 
00:00:11.501 ->  Battery :1.01 V
00:00:11.560 ->  Speed:0.00 km/hr 
00:00:11.652 ->  Battery :1.02 V
00:00:11.711 ->  Speed:0.00 km/hr 
00:00:11.803 ->  Battery :1.01 V
00:00:11.863 ->  Speed:0.00 km/hr 
00:00:11.954 ->  Battery :1.01 V
00:00:12.013 ->  Speed:0.00 km/hr 
00:00:12.105 ->  Battery :1.02 V
00:00:12.165 ->  Speed:0.00 km/hr 
00:00:12.256 ->  Battery :1.01 V
00:00:12.315 ->  Speed:0.00 km/hr 
00:00:12.406 ->  Battery :1.02 V
00:00:12.466 ->  Speed:0.00 km/hr 
00:00:12.558 ->  Battery :1.01 V
00:00:12.617 ->  Speed:0.00 km/hr 
00:00:12.708 ->  Battery :1.02 V
00:00:12.770 ->  Speed:0.00 km/hr 
00:00:12.860 ->  Battery :1.04 V
00:00:12.919 ->  Speed:0.00 km/hr 
00:00:13.011 ->  Battery :1.01 V
00:00:13.070 ->  Speed:0.00 km/hr 
00:00:13.162 ->  Battery :1.02 V
00:00:13.221 ->  Speed:0.00 km/hr 
