00:00:02.691 ->  SD OK
00:00:02.715 ->  BREAK STOP
00:00:02.954 ->  Controller Set
00:00:04.700 ->  START
00:00:04.720 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:16.875 ->  Battery :0.00 V
00:00:17.280 ->  Battery :0.00 V
00:00:17.683 ->  Battery :0.00 V
00:00:18.088 ->  Battery :0.00 V
00:00:18.493 ->  Battery :0.00 V
00:00:18.896 ->  Battery :0.00 V
00:00:19.300 ->  Battery :0.00 V
00:00:19.705 ->  Battery :0.00 V
00:00:20.110 ->  Battery :0.00 V
00:00:25.060 ->  Battery :0.00 V
00:00:25.465 ->  Battery :0.00 V
00:00:25.869 ->  Battery :0.00 V
00:00:26.274 ->  Battery :0.00 V
00:00:26.677 ->  Battery :0.00 V
00:00:27.081 ->  Battery :0.00 V
00:00:27.487 ->  Battery :0.00 V
00:00:27.890 ->  Battery :0.00 V
00:00:28.295 ->  Battery :0.00 V
00:00:43.250 ->  Battery :0.00 V
00:00:43.655 ->  Battery :0.00 V
00:00:44.059 ->  Battery :0.00 V
00:00:44.463 ->  Battery :0.00 V
00:00:44.867 ->  Battery :0.00 V
00:00:45.273 ->  Battery :0.00 V
00:00:45.675 ->  Battery :0.00 V
00:00:46.081 ->  Battery :0.00 V
00:00:46.483 ->  Battery :0.00 V
00:00:50.930 ->  Battery :0.00 V
00:00:51.335 ->  Battery :0.00 V
00:00:51.739 ->  Battery :0.00 V
00:00:52.144 ->  Battery :0.00 V
00:00:52.547 ->  Battery :0.00 V
00:00:52.952 ->  Battery :0.00 V
00:00:53.355 ->  Battery :0.00 V
00:00:53.760 ->  Battery :0.00 V
00:00:54.164 ->  Battery :0.00 V
00:00:54.973 ->  Battery :0.00 V
00:00:55.377 ->  Battery :0.00 V
00:00:55.780 ->  Battery :0.00 V
00:00:56.185 ->  Battery :0.00 V
00:00:56.589 ->  Battery :0.00 V
00:00:56.993 ->  Battery :0.00 V
00:00:57.398 ->  Battery :0.00 V
00:00:57.802 ->  Battery :0.00 V
00:00:58.207 ->  Battery :0.00 V
00:00:58.611 ->  Battery :0.00 V
00:00:59.016 ->  Battery :0.00 V
00:00:59.418 ->  Battery :0.00 V
00:00:59.824 ->  Battery :0.00 V
00:00:60.127 ->  Battery :12.15 V
00:00:60.733 ->  Battery :12.11 V
00:01:01.339 ->  Battery :12.15 V
00:01:01.641 ->  Battery :0.01 V
00:01:01.744 ->  Battery :0.01 V
00:01:01.945 ->  Battery :12.15 V
00:01:02.553 ->  Battery :12.14 V
00:01:03.158 ->  Battery :12.14 V
00:01:03.764 ->  Battery :1.21 V
00:01:03.864 ->  Battery :12.12 V
00:01:03.967 ->  Battery :0.01 V
00:01:04.067 ->  Battery :12.14 V
