00:00:02.00-1154 ->  SD OK~
00:00:02.00-1085 ->  BREAK STOP~
00:00:03.00-2816 ->  Controller Err~
00:00:04.00-3539 ->  START~
00:00:04.00-3490 ->  Battery :12.21 V~
00:00:04.00-3419 ->  Speed:0.00 km/hr ~
00:00:04.00-3369 ->  Battery :12.28 V~
00:00:04.00-3297 ->  Speed:0.00 km/hr ~
00:00:04.00-3247 ->  Battery :12.27 V~
00:00:04.00-3176 ->  Speed:0.00 km/hr ~
00:00:04.00-3126 ->  Battery :12.27 V~
00:00:04.00-3055 ->  Speed:0.00 km/hr ~
00:00:04.00-3005 ->  Battery :12.25 V~
00:00:05.00-4934 ->  Speed:0.00 km/hr ~
00:00:05.00-4882 ->  Battery :12.25 V~
00:00:05.00-4810 ->  Speed:0.00 km/hr ~
00:00:05.00-4760 ->  Battery :12.24 V~
00:00:05.00-4689 ->  Speed:0.00 km/hr ~
00:00:05.00-4639 ->  Battery :12.28 V~
00:00:05.00-4567 ->  Speed:0.00 km/hr ~
00:00:05.00-4517 ->  Battery :12.28 V~
00:00:05.00-4446 ->  Speed:0.00 km/hr ~
00:00:05.00-4396 ->  Battery :12.19 V~
00:00:05.00-4324 ->  Speed:0.00 km/hr ~
00:00:05.00-4274 ->  Battery :12.30 V~
00:00:05.00-4204 ->  Speed:0.00 km/hr ~
00:00:05.00-4152 ->  Battery :12.30 V~
00:00:05.00-4079 ->  Speed:0.00 km/hr ~
00:00:05.00-4029 ->  Battery :12.28 V~
00:00:06.00-5958 ->  Speed:0.00 km/hr ~
00:00:06.00-5908 ->  Battery :12.25 V~
00:00:06.00-5836 ->  Speed:0.00 km/hr ~
00:00:06.00-5786 ->  Battery :12.28 V~
00:00:06.00-5715 ->  Speed:0.00 km/hr ~
00:00:06.00-5665 ->  Battery :12.28 V~
00:00:06.00-5593 ->  Speed:0.00 km/hr ~
00:00:06.00-5543 ->  Battery :12.27 V~
00:00:06.00-5472 ->  Speed:0.00 km/hr ~
00:00:06.00-5421 ->  Battery :12.15 V~
00:00:06.00-5348 ->  Speed:0.00 km/hr ~
00:00:06.00-5297 ->  Battery :12.24 V~
00:00:06.00-5227 ->  Speed:0.00 km/hr ~
00:00:06.00-5177 ->  Battery :12.25 V~
00:00:06.00-5105 ->  Speed:0.00 km/hr ~
00:00:06.00-5055 ->  Battery :12.25 V~
00:00:07.00-6984 ->  Speed:0.00 km/hr ~
00:00:07.00-6934 ->  Battery :12.30 V~
00:00:07.00-6862 ->  Speed:0.00 km/hr ~
00:00:07.00-6812 ->  Battery :12.27 V~
00:00:07.00-6740 ->  Speed:0.00 km/hr ~
00:00:07.00-6690 ->  Battery :12.27 V~
00:00:07.00-6620 ->  Speed:0.00 km/hr ~
00:00:07.00-6566 ->  Battery :12.27 V~
00:00:07.00-6496 ->  Speed:0.00 km/hr ~
00:00:07.00-6445 ->  Battery :12.30 V~
00:00:07.00-6374 ->  Speed:0.00 km/hr ~
00:00:07.00-6324 ->  Battery :12.30 V~
00:00:07.00-6253 ->  Speed:0.00 km/hr ~
00:00:07.00-6186 ->  Battery :12.28 V~
00:00:07.00-6115 ->  Speed:0.00 km/hr ~
00:00:07.00-6035 ->  Battery :12.24 V~
00:00:08.00-7963 ->  Speed:0.00 km/hr ~
00:00:08.00-7884 ->  Battery :12.25 V~
00:00:08.00-7813 ->  Speed:0.00 km/hr ~
00:00:08.00-7733 ->  Battery :12.25 V~
00:00:08.00-7663 ->  Speed:0.00 km/hr ~
00:00:08.00-7582 ->  Battery :12.24 V~
00:00:08.00-7511 ->  Speed:0.00 km/hr ~
00:00:08.00-7431 ->  Battery :12.24 V~
00:00:08.00-7359 ->  Speed:0.00 km/hr ~
00:00:08.00-7280 ->  Battery :12.19 V~
00:00:08.00-7208 ->  Speed:0.00 km/hr ~
00:00:08.00-7129 ->  Battery :12.18 V~
00:00:08.00-7057 ->  Speed:0.00 km/hr ~
00:00:09.00-8978 ->  Battery :12.22 V~
00:00:09.00-8906 ->  Speed:0.00 km/hr ~
00:00:09.00-8826 ->  Battery :12.21 V~
00:00:09.00-8753 ->  Speed:0.00 km/hr ~
00:00:09.00-8676 ->  Battery :12.21 V~
00:00:09.00-8604 ->  Speed:0.00 km/hr ~
00:00:09.00-8524 ->  Battery :12.21 V~
00:00:09.00-8453 ->  Speed:0.00 km/hr ~
00:00:09.00-8374 ->  Battery :12.22 V~
00:00:09.00-8302 ->  Speed:0.00 km/hr ~
00:00:09.00-8223 ->  Battery :12.21 V~
00:00:09.00-8152 ->  Speed:0.00 km/hr ~
00:00:09.00-8072 ->  Battery :12.22 V~
00:00:00.00 ->  Speed:0.00 km/hr ~
00:00:10.00-9921 ->  Battery :12.22 V~
00:00:10.00-9850 ->  Speed:0.00 km/hr ~
00:00:10.00-9770 ->  Battery :12.24 V~
00:00:10.00-9698 ->  Speed:0.00 km/hr ~
00:00:10.00-9619 ->  Battery :12.24 V~
00:00:10.00-9548 ->  Speed:0.00 km/hr ~
00:00:10.00-9468 ->  Battery :12.24 V~
00:00:10.00-9396 ->  Speed:0.00 km/hr ~
00:00:10.00-9316 ->  Battery :12.24 V~
00:00:10.00-9245 ->  Speed:0.00 km/hr ~
00:00:10.00-9165 ->  Battery :12.25 V~
00:00:10.00-9094 ->  Speed:0.00 km/hr ~
00:00:10.00-9014 ->  Battery :12.24 V~
00:00:11.00-10943 ->  Speed:0.00 km/hr ~
00:00:11.00-10862 ->  Battery :12.22 V~
00:00:11.00-10790 ->  Speed:0.00 km/hr ~
00:00:11.00-10712 ->  Battery :12.22 V~
00:00:11.00-10641 ->  Speed:0.00 km/hr ~
00:00:11.00-10560 ->  Battery :12.22 V~
00:00:11.00-10490 ->  Speed:0.00 km/hr ~
00:00:11.00-10410 ->  Battery :12.22 V~
00:00:11.00-10339 ->  Speed:0.00 km/hr ~
00:00:11.00-10259 ->  Battery :12.21 V~
00:00:11.00-10189 ->  Speed:0.00 km/hr ~
00:00:11.00-10108 ->  Battery :12.21 V~
00:00:11.00-10037 ->  Speed:0.00 km/hr ~
00:00:12.00-11957 ->  Battery :12.21 V~
00:00:12.00-11884 ->  Speed:0.00 km/hr ~
00:00:12.00-11806 ->  Battery :12.21 V~
00:00:12.00-11735 ->  Speed:0.00 km/hr ~
00:00:12.00-11655 ->  Battery :12.22 V~
00:00:12.00-11584 ->  Speed:0.00 km/hr ~
00:00:12.00-11504 ->  Battery :12.22 V~
00:00:12.00-11433 ->  Speed:0.00 km/hr ~
00:00:12.00-11353 ->  Battery :12.22 V~
00:00:12.00-11281 ->  Speed:0.00 km/hr ~
00:00:12.00-11202 ->  Battery :12.22 V~
00:00:12.00-11130 ->  Speed:0.00 km/hr ~
00:00:12.00-11051 ->  Battery :12.24 V~
00:00:13.00-12977 ->  Speed:0.00 km/hr ~
00:00:13.00-12899 ->  Battery :12.24 V~
00:00:13.00-12829 ->  Speed:0.00 km/hr ~
00:00:13.00-12749 ->  Battery :12.24 V~
00:00:13.00-12677 ->  Speed:0.00 km/hr ~
00:00:13.00-12597 ->  Battery :12.24 V~
00:00:13.00-12526 ->  Speed:0.00 km/hr ~
00:00:13.00-12447 ->  Battery :12.22 V~
00:00:13.00-12375 ->  Speed:0.00 km/hr ~
00:00:13.00-12296 ->  Battery :12.21 V~
00:00:13.00-12225 ->  Speed:0.00 km/hr ~
00:00:13.00-12145 ->  Battery :12.22 V~
00:00:13.00-12073 ->  Speed:0.00 km/hr ~
00:00:14.00-13994 ->  Battery :12.24 V~
00:00:14.00-13923 ->  Speed:0.00 km/hr ~
00:00:14.00-13843 ->  Battery :12.24 V~
00:00:14.00-13771 ->  Speed:0.00 km/hr ~
00:00:14.00-13692 ->  Battery :12.22 V~
00:00:14.00-13620 ->  Speed:0.00 km/hr ~
00:00:14.00-13541 ->  Battery :12.27 V~
00:00:14.00-13469 ->  Speed:0.00 km/hr ~
00:00:14.00-13390 ->  Battery :12.21 V~
00:00:14.00-13318 ->  Speed:0.00 km/hr ~
00:00:14.00-13239 ->  Battery :12.21 V~
00:00:14.00-13167 ->  Speed:0.00 km/hr ~
00:00:14.00-13088 ->  Battery :12.21 V~
00:00:14.00-13016 ->  Speed:0.00 km/hr ~
00:00:15.00-14936 ->  Battery :12.21 V~
00:00:15.00-14865 ->  Speed:0.00 km/hr ~
