00:00:00.830 ->  SD OK~
00:00:00.905 ->  BREAK STOP~
00:00:00.159 ->  Controller Err~
00:00:00.415 ->  START~
00:00:00.466 ->  ERROR OCCUR  ~
00:00:00.518 ->  BREAK STOP  ~
00:00:00.573 ->  (126,92,94,92,0.00,100,0)	BREAK STOPPED ~
00:00:00.625 ->  ERROR OCCUR  ~
00:00:00.677 ->  BREAK STOP  ~
00:00:00.731 ->  (112,126,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.784 ->  ERROR OCCUR  ~
00:00:00.836 ->  BREAK STOP  ~
00:00:00.890 ->  (111,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.942 ->  ERROR OCCUR  ~
00:00:00.997 ->  BREAK STOP  ~
00:00:00.052 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.104 ->  ERROR OCCUR  ~
00:00:00.156 ->  BREAK STOP  ~
00:00:00.209 ->  ERROR OCCUR  ~
00:00:00.261 ->  BREAK STOP  ~
00:00:00.315 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.367 ->  ERROR OCCUR  ~
00:00:00.420 ->  BREAK STOP  ~
00:00:00.472 ->  ERROR OCCUR  ~
00:00:00.524 ->  BREAK STOP  ~
00:00:00.578 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.630 ->  ERROR OCCUR  ~
00:00:00.686 ->  BREAK STOP  ~
00:00:00.740 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.792 ->  ERROR OCCUR  ~
00:00:00.844 ->  BREAK STOP  ~
00:00:00.897 ->  ERROR OCCUR  ~
00:00:00.949 ->  BREAK STOP  ~
00:00:00.003 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.056 ->  ERROR OCCUR  ~
00:00:00.108 ->  BREAK STOP  ~
00:00:00.162 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.215 ->  ERROR OCCUR  ~
00:00:00.266 ->  BREAK STOP  ~
00:00:00.320 ->  ERROR OCCUR  ~
00:00:00.374 ->  BREAK STOP  ~
00:00:00.427 ->  ERROR OCCUR  ~
00:00:00.478 ->  BREAK STOP  ~
00:00:00.533 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.586 ->  ERROR OCCUR  ~
00:00:00.638 ->  BREAK STOP  ~
00:00:00.692 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.745 ->  ERROR OCCUR  ~
00:00:00.797 ->  BREAK STOP  ~
00:00:00.849 ->  ERROR OCCUR  ~
00:00:00.901 ->  BREAK STOP  ~
00:00:00.956 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.008 ->  ERROR OCCUR  ~
00:00:00.062 ->  BREAK STOP  ~
00:00:00.115 ->  ERROR OCCUR  ~
00:00:00.168 ->  BREAK STOP  ~
00:00:00.220 ->  ERROR OCCUR  ~
00:00:00.272 ->  BREAK STOP  ~
00:00:00.324 ->  ERROR OCCUR  ~
00:00:00.376 ->  BREAK STOP  ~
00:00:00.429 ->  ERROR OCCUR  ~
00:00:00.481 ->  BREAK STOP  ~
00:00:00.533 ->  ERROR OCCUR  ~
00:00:00.585 ->  BREAK STOP  ~
00:00:00.640 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.692 ->  ERROR OCCUR  ~
00:00:00.744 ->  BREAK STOP  ~
00:00:00.798 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.854 ->  ERROR OCCUR  ~
00:00:00.906 ->  BREAK STOP  ~
00:00:00.958 ->  ERROR OCCUR  ~
00:00:00.010 ->  BREAK STOP  ~
00:00:00.064 ->  ERROR OCCUR  ~
00:00:00.115 ->  BREAK STOP  ~
00:00:00.167 ->  ERROR OCCUR  ~
00:00:00.219 ->  BREAK STOP  ~
00:00:00.272 ->  ERROR OCCUR  ~
00:00:00.325 ->  BREAK STOP  ~
00:00:00.378 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.431 ->  ERROR OCCUR  ~
00:00:00.483 ->  BREAK STOP  ~
00:00:00.538 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.593 ->  ERROR OCCUR  ~
00:00:00.645 ->  BREAK STOP  ~
00:00:00.697 ->  ERROR OCCUR  ~
00:00:00.750 ->  BREAK STOP  ~
00:00:00.802 ->  ERROR OCCUR  ~
00:00:00.854 ->  BREAK STOP  ~
00:00:00.908 ->  (109,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.961 ->  ERROR OCCUR  ~
00:00:00.013 ->  BREAK STOP  ~
00:00:00.067 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.119 ->  ERROR OCCUR  ~
00:00:00.171 ->  BREAK STOP  ~
00:00:00.226 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.281 ->  ERROR OCCUR  ~
00:00:00.333 ->  BREAK STOP  ~
00:00:00.385 ->  ERROR OCCUR  ~
00:00:00.438 ->  BREAK STOP  ~
00:00:00.492 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.544 ->  ERROR OCCUR  ~
00:00:00.595 ->  BREAK STOP  ~
00:00:00.650 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.703 ->  ERROR OCCUR  ~
00:00:00.754 ->  BREAK STOP  ~
00:00:00.808 ->  (110,109,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.861 ->  ERROR OCCUR  ~
00:00:00.915 ->  BREAK STOP  ~
00:00:00.969 ->  (111,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.022 ->  ERROR OCCUR  ~
00:00:00.074 ->  BREAK STOP  ~
00:00:00.126 ->  ERROR OCCUR  ~
00:00:00.178 ->  BREAK STOP  ~
00:00:00.230 ->  ERROR OCCUR  ~
00:00:00.283 ->  BREAK STOP  ~
00:00:00.337 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.389 ->  ERROR OCCUR  ~
00:00:00.441 ->  BREAK STOP  ~
00:00:00.496 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.548 ->  ERROR OCCUR  ~
00:00:00.602 ->  BREAK STOP  ~
00:00:00.654 ->  ERROR OCCUR  ~
00:00:00.706 ->  BREAK STOP  ~
00:00:00.761 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.814 ->  ERROR OCCUR  ~
00:00:00.866 ->  BREAK STOP  ~
00:00:00.918 ->  ERROR OCCUR  ~
00:00:00.971 ->  BREAK STOP  ~
00:00:00.023 ->  ERROR OCCUR  ~
00:00:00.075 ->  BREAK STOP  ~
00:00:00.129 ->  (109,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.182 ->  ERROR OCCUR  ~
00:00:00.234 ->  BREAK STOP  ~
00:00:00.290 ->  (111,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.343 ->  ERROR OCCUR  ~
00:00:00.396 ->  BREAK STOP  ~
00:00:00.448 ->  ERROR OCCUR  ~
00:00:00.499 ->  BREAK STOP  ~
00:00:00.552 ->  ERROR OCCUR  ~
00:00:00.604 ->  BREAK STOP  ~
00:00:00.659 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.711 ->  ERROR OCCUR  ~
00:00:00.763 ->  BREAK STOP  ~
00:00:00.817 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.870 ->  ERROR OCCUR  ~
00:00:00.922 ->  BREAK STOP  ~
00:00:00.977 ->  ERROR OCCUR  ~
00:00:00.029 ->  BREAK STOP  ~
00:00:00.084 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.136 ->  ERROR OCCUR  ~
00:00:00.188 ->  BREAK STOP  ~
00:00:00.240 ->  ERROR OCCUR  ~
00:00:00.293 ->  BREAK STOP  ~
00:00:00.345 ->  ERROR OCCUR  ~
00:00:00.397 ->  BREAK STOP  ~
00:00:00.449 ->  ERROR OCCUR  ~
00:00:00.502 ->  BREAK STOP  ~
00:00:00.555 ->  ERROR OCCUR  ~
00:00:00.606 ->  BREAK STOP  ~
00:00:00.660 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.716 ->  ERROR OCCUR  ~
00:00:00.768 ->  BREAK STOP  ~
00:00:00.822 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.875 ->  ERROR OCCUR  ~
00:00:00.928 ->  BREAK STOP  ~
00:00:00.980 ->  ERROR OCCUR  ~
00:00:00.032 ->  BREAK STOP  ~
00:00:00.084 ->  ERROR OCCUR  ~
00:00:00.136 ->  BREAK STOP  ~
00:00:00.191 ->  (109,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.258 ->  ERROR OCCUR  ~
00:00:00.309 ->  BREAK STOP  ~
00:00:00.364 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.420 ->  ERROR OCCUR  ~
00:00:00.471 ->  BREAK STOP  ~
00:00:00.526 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.579 ->  ERROR OCCUR  ~
00:00:00.630 ->  BREAK STOP  ~
00:00:00.683 ->  ERROR OCCUR  ~
00:00:00.735 ->  BREAK STOP  ~
00:00:00.788 ->  ERROR OCCUR  ~
00:00:00.839 ->  BREAK STOP  ~
