00:00:03.258 ->  SD OK~
00:00:03.336 ->  BREAK STOP~
00:00:03.593 ->  Controller Err~
00:00:04.851 ->  START~
00:00:04.907 ->  ERROR OCCUR  ~
00:00:04.961 ->  BREAK STOP  ~
00:00:05.018 ->  (122,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.073 ->  ERROR OCCUR  ~
00:00:05.129 ->  BREAK STOP  ~
00:00:05.185 ->  (109,122,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.240 ->  ERROR OCCUR  ~
00:00:05.296 ->  BREAK STOP  ~
00:00:05.353 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.408 ->  ERROR OCCUR  ~
00:00:05.466 ->  BREAK STOP  ~
00:00:05.523 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.578 ->  ERROR OCCUR  ~
00:00:05.633 ->  BREAK STOP  ~
00:00:05.689 ->  ERROR OCCUR  ~
00:00:05.743 ->  BREAK STOP  ~
00:00:05.800 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.856 ->  ERROR OCCUR  ~
00:00:05.911 ->  BREAK STOP  ~
00:00:05.967 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.024 ->  ERROR OCCUR  ~
00:00:06.078 ->  BREAK STOP  ~
00:00:06.133 ->  ERROR OCCUR  ~
00:00:06.192 ->  BREAK STOP  ~
00:00:06.248 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.304 ->  ERROR OCCUR  ~
00:00:06.359 ->  BREAK STOP  ~
00:00:06.414 ->  ERROR OCCUR  ~
00:00:06.469 ->  BREAK STOP  ~
00:00:06.524 ->  ERROR OCCUR  ~
00:00:06.580 ->  BREAK STOP  ~
00:00:06.637 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.692 ->  ERROR OCCUR  ~
00:00:06.747 ->  BREAK STOP  ~
00:00:06.804 ->  (107,105,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:06.860 ->  ERROR OCCUR  ~
00:00:06.918 ->  BREAK STOP  ~
00:00:06.975 ->  (109,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.030 ->  ERROR OCCUR  ~
00:00:07.085 ->  BREAK STOP  ~
00:00:07.142 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.197 ->  ERROR OCCUR  ~
00:00:07.252 ->  BREAK STOP  ~
00:00:07.310 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.365 ->  ERROR OCCUR  ~
00:00:07.420 ->  BREAK STOP  ~
00:00:07.476 ->  ERROR OCCUR  ~
00:00:07.530 ->  BREAK STOP  ~
00:00:07.587 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.646 ->  ERROR OCCUR  ~
00:00:07.701 ->  BREAK STOP  ~
00:00:07.756 ->  ERROR OCCUR  ~
00:00:07.811 ->  BREAK STOP  ~
00:00:07.866 ->  ERROR OCCUR  ~
00:00:07.921 ->  BREAK STOP  ~
00:00:07.976 ->  ERROR OCCUR  ~
00:00:08.032 ->  BREAK STOP  ~
00:00:08.089 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.144 ->  ERROR OCCUR  ~
00:00:08.199 ->  BREAK STOP  ~
00:00:08.256 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.311 ->  ERROR OCCUR  ~
00:00:08.370 ->  BREAK STOP  ~
00:00:08.426 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.482 ->  ERROR OCCUR  ~
00:00:08.537 ->  BREAK STOP  ~
00:00:08.594 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.649 ->  ERROR OCCUR  ~
00:00:08.705 ->  BREAK STOP  ~
00:00:08.760 ->  ERROR OCCUR  ~
00:00:08.815 ->  BREAK STOP  ~
00:00:08.870 ->  ERROR OCCUR  ~
00:00:08.925 ->  BREAK STOP  ~
00:00:08.982 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.037 ->  ERROR OCCUR  ~
00:00:09.095 ->  BREAK STOP  ~
00:00:09.152 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.208 ->  ERROR OCCUR  ~
00:00:09.263 ->  BREAK STOP  ~
00:00:09.318 ->  ERROR OCCUR  ~
00:00:09.373 ->  BREAK STOP  ~
00:00:09.428 ->  ERROR OCCUR  ~
00:00:09.484 ->  BREAK STOP  ~
00:00:09.541 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.596 ->  ERROR OCCUR  ~
00:00:09.652 ->  BREAK STOP  ~
00:00:09.708 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.764 ->  ERROR OCCUR  ~
00:00:09.822 ->  BREAK STOP  ~
00:00:09.877 ->  ERROR OCCUR  ~
00:00:09.931 ->  BREAK STOP  ~
00:00:09.987 ->  ERROR OCCUR  ~
00:00:10.042 ->  BREAK STOP  ~
00:00:10.098 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.153 ->  ERROR OCCUR  ~
00:00:10.209 ->  BREAK STOP  ~
00:00:10.265 ->  (107,105,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:10.321 ->  ERROR OCCUR  ~
00:00:10.376 ->  BREAK STOP  ~
00:00:10.433 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.488 ->  ERROR OCCUR  ~
00:00:10.546 ->  BREAK STOP  ~
00:00:10.602 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.657 ->  ERROR OCCUR  ~
00:00:10.713 ->  BREAK STOP  ~
00:00:10.768 ->  ERROR OCCUR  ~
00:00:10.822 ->  BREAK STOP  ~
00:00:10.880 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.935 ->  ERROR OCCUR  ~
00:00:10.990 ->  BREAK STOP  ~
00:00:11.046 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.102 ->  ERROR OCCUR  ~
00:00:11.157 ->  BREAK STOP  ~
00:00:11.214 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.272 ->  ERROR OCCUR  ~
00:00:11.327 ->  BREAK STOP  ~
00:00:11.384 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.440 ->  ERROR OCCUR  ~
00:00:11.495 ->  BREAK STOP  ~
00:00:11.551 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.608 ->  ERROR OCCUR  ~
00:00:11.662 ->  BREAK STOP  ~
00:00:11.717 ->  ERROR OCCUR  ~
00:00:11.772 ->  BREAK STOP  ~
00:00:11.828 ->  ERROR OCCUR  ~
00:00:11.883 ->  BREAK STOP  ~
00:00:11.940 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.998 ->  ERROR OCCUR  ~
00:00:12.053 ->  BREAK STOP  ~
00:00:12.110 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.166 ->  ERROR OCCUR  ~
00:00:12.221 ->  BREAK STOP  ~
00:00:12.276 ->  ERROR OCCUR  ~
00:00:12.331 ->  BREAK STOP  ~
00:00:12.387 ->  ERROR OCCUR  ~
00:00:12.441 ->  BREAK STOP  ~
00:00:12.498 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.554 ->  ERROR OCCUR  ~
00:00:12.609 ->  BREAK STOP  ~
00:00:12.668 ->  (107,105,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:12.724 ->  ERROR OCCUR  ~
00:00:12.779 ->  BREAK STOP  ~
00:00:12.836 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.892 ->  ERROR OCCUR  ~
00:00:12.946 ->  BREAK STOP  ~
00:00:13.003 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.060 ->  ERROR OCCUR  ~
00:00:13.114 ->  BREAK STOP  ~
00:00:13.169 ->  ERROR OCCUR  ~
00:00:13.224 ->  BREAK STOP  ~
00:00:13.282 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.337 ->  ERROR OCCUR  ~
00:00:13.394 ->  BREAK STOP  ~
00:00:13.452 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.507 ->  ERROR OCCUR  ~
00:00:13.562 ->  BREAK STOP  ~
00:00:13.619 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:13.675 ->  ERROR OCCUR  ~
00:00:13.729 ->  BREAK STOP  ~
00:00:13.787 ->  (108,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:13.842 ->  ERROR OCCUR  ~
00:00:13.897 ->  BREAK STOP  ~
00:00:13.955 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.010 ->  ERROR OCCUR  ~
00:00:14.067 ->  BREAK STOP  ~
00:00:14.125 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.180 ->  ERROR OCCUR  ~
00:00:14.235 ->  BREAK STOP  ~
00:00:14.292 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.348 ->  ERROR OCCUR  ~
00:00:14.403 ->  BREAK STOP  ~
00:00:14.458 ->  ERROR OCCUR  ~
00:00:14.513 ->  BREAK STOP  ~
00:00:14.570 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:14.625 ->  ERROR OCCUR  ~
00:00:14.681 ->  BREAK STOP  ~
00:00:14.736 ->  ERROR OCCUR  ~
00:00:14.793 ->  BREAK STOP  ~
00:00:14.851 ->  (107,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:14.906 ->  ERROR OCCUR  ~
00:00:14.961 ->  BREAK STOP  ~
00:00:15.019 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.074 ->  ERROR OCCUR  ~
00:00:15.128 ->  BREAK STOP  ~
00:00:15.184 ->  ERROR OCCUR  ~
00:00:15.239 ->  BREAK STOP  ~
00:00:15.296 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.351 ->  ERROR OCCUR  ~
00:00:15.407 ->  BREAK STOP  ~
00:00:15.462 ->  ERROR OCCUR  ~
00:00:15.519 ->  BREAK STOP  ~
00:00:15.577 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:15.632 ->  ERROR OCCUR  ~
00:00:15.686 ->  BREAK STOP  ~
