00:00:02.00-1161 ->  SD OK~
00:00:02.00-1090 ->  BREAK STOP~
00:00:03.00-2821 ->  Controller Set~
00:00:04.00-3044 ->  START~
00:00:05.00-4992 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:05.00-4933 ->  LOCK~
00:00:21.00-20556 ->  (92,93,92,93,0.00,100,0)	BREAK STOPPED ~
00:00:21.00-20495 ->  LOCK~
00:00:21.00-20382 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:21.00-20322 ->  LOCK~
00:00:26.00-25715 ->  (92,93,92,93,0.00,100,0)	BREAK STOPPED ~
00:00:26.00-25656 ->  LOCK~
00:00:26.00-25549 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:26.00-25486 ->  LOCK~
00:00:35.31309 ->  Battery :12.37 V~
00:00:35.31381 ->  Speed:3.89 km/hr ~
00:00:35.31501 ->  Battery :12.39 V~
00:00:36.29573 ->  Speed:3.96 km/hr ~
00:00:36.29652 ->  Battery :12.39 V~
00:00:36.29724 ->  Speed:3.89 km/hr ~
00:00:36.29804 ->  Battery :12.39 V~
00:00:36.29875 ->  Speed:3.89 km/hr ~
00:00:36.29954 ->  Battery :12.34 V~
00:00:36.30026 ->  Speed:3.89 km/hr ~
00:00:36.30106 ->  Battery :12.40 V~
00:00:36.30177 ->  Speed:3.75 km/hr ~
00:00:36.30256 ->  Battery :12.37 V~
00:00:36.30328 ->  Speed:3.82 km/hr ~
00:00:36.30408 ->  Battery :12.39 V~
00:00:36.30479 ->  Speed:3.68 km/hr ~
00:00:37.28558 ->  Battery :12.39 V~
00:00:37.28630 ->  Speed:3.68 km/hr ~
00:00:37.28709 ->  Battery :12.37 V~
00:00:37.28780 ->  Speed:3.68 km/hr ~
00:00:37.28860 ->  Battery :12.39 V~
00:00:37.28946 ->  Speed:3.62 km/hr ~
00:00:37.29011 ->  Battery :12.41 V~
00:00:37.29083 ->  Speed:3.55 km/hr ~
00:00:37.29162 ->  Battery :12.34 V~
00:00:37.29237 ->  Speed:3.49 km/hr ~
00:00:37.29313 ->  Battery :12.37 V~
00:00:37.29385 ->  Speed:3.49 km/hr ~
00:00:37.29464 ->  Battery :12.37 V~
00:00:00.00 ->  Speed:3.43 km/hr ~
00:00:38.27615 ->  Battery :12.34 V~
00:00:38.27687 ->  Speed:3.38 km/hr ~
00:00:38.27767 ->  Battery :12.37 V~
00:00:38.27838 ->  Speed:3.32 km/hr ~
00:00:38.27917 ->  Battery :12.39 V~
00:00:38.27990 ->  Speed:3.32 km/hr ~
00:00:38.28069 ->  Battery :12.39 V~
00:00:38.28141 ->  Speed:3.32 km/hr ~
00:00:38.28219 ->  Battery :12.39 V~
00:00:38.28291 ->  Speed:3.22 km/hr ~
00:00:38.28371 ->  Battery :12.39 V~
00:00:38.28443 ->  Speed:3.17 km/hr ~
00:00:38.28521 ->  Battery :12.41 V~
00:00:39.26594 ->  Speed:3.12 km/hr ~
00:00:39.26672 ->  Battery :12.39 V~
00:00:39.26744 ->  Speed:3.17 km/hr ~
00:00:39.26824 ->  Battery :12.37 V~
00:00:39.26896 ->  Speed:3.12 km/hr ~
00:00:39.26975 ->  Battery :12.39 V~
00:00:39.27047 ->  Speed:3.08 km/hr ~
00:00:39.27126 ->  Battery :12.39 V~
00:00:39.27198 ->  Speed:3.03 km/hr ~
00:00:39.27277 ->  Battery :12.34 V~
00:00:39.27349 ->  Speed:2.99 km/hr ~
00:00:39.27428 ->  Battery :12.39 V~
00:00:39.27500 ->  Speed:2.94 km/hr ~
00:00:40.25579 ->  Battery :12.40 V~
00:00:40.25651 ->  Speed:2.90 km/hr ~
00:00:40.25731 ->  Battery :12.36 V~
00:00:40.25802 ->  Speed:2.82 km/hr ~
00:00:40.25881 ->  Battery :12.36 V~
00:00:40.25953 ->  Speed:2.82 km/hr ~
00:00:40.26033 ->  Battery :12.44 V~
00:00:40.26104 ->  Speed:2.78 km/hr ~
00:00:40.26183 ->  Battery :12.37 V~
00:00:40.26258 ->  Speed:2.75 km/hr ~
00:00:40.26335 ->  Battery :12.39 V~
00:00:40.26406 ->  Speed:2.71 km/hr ~
00:00:40.26485 ->  Battery :12.37 V~
00:00:41.24557 ->  Speed:2.68 km/hr ~
00:00:41.24636 ->  Battery :12.40 V~
00:00:41.24707 ->  Speed:2.64 km/hr ~
00:00:41.24787 ->  Battery :12.37 V~
00:00:41.24859 ->  Speed:2.68 km/hr ~
00:00:41.24938 ->  Battery :12.37 V~
00:00:41.25010 ->  Speed:2.57 km/hr ~
00:00:41.25089 ->  Battery :12.39 V~
00:00:41.25161 ->  Speed:2.57 km/hr ~
00:00:41.25240 ->  Battery :12.37 V~
00:00:41.25312 ->  Speed:2.51 km/hr ~
00:00:41.25392 ->  Battery :12.39 V~
00:00:41.25463 ->  Speed:2.54 km/hr ~
00:00:42.23542 ->  Battery :12.40 V~
00:00:42.23614 ->  Speed:2.48 km/hr ~
00:00:42.23694 ->  Battery :12.37 V~
00:00:42.23765 ->  Speed:2.68 km/hr ~
00:00:42.23844 ->  Battery :12.41 V~
00:00:42.23916 ->  Speed:2.42 km/hr ~
00:00:42.23996 ->  Battery :12.37 V~
00:00:42.24067 ->  Speed:2.39 km/hr ~
00:00:42.24146 ->  Battery :12.33 V~
00:00:42.24218 ->  Speed:2.37 km/hr ~
00:00:42.24298 ->  Battery :12.37 V~
00:00:42.24369 ->  Speed:2.71 km/hr ~
00:00:42.24448 ->  Battery :12.39 V~
00:00:42.24520 ->  Speed:2.31 km/hr ~
00:00:43.22599 ->  Battery :12.36 V~
00:00:43.22670 ->  Speed:2.24 km/hr ~
00:00:43.22750 ->  Battery :12.40 V~
00:00:43.22822 ->  Speed:2.26 km/hr ~
