03:04:08.357 ->  SD OK~
03:04:08.445 ->  BREAK STOP~
03:04:08.710 ->  Controller Err~
03:04:09.977 ->  START~
03:04:10.040 ->  ERROR OCCUR  ~
03:04:10.104 ->  BREAK STOP  ~
03:04:10.168 ->  (121,92,94,92,0.00,100,0)	BREAK STOPPED ~
03:04:10.233 ->  ERROR OCCUR  ~
03:04:10.295 ->  BREAK STOP  ~
03:04:10.361 ->  (111,121,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:10.424 ->  ERROR OCCUR  ~
03:04:10.488 ->  BREAK STOP  ~
03:04:10.553 ->  (109,111,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:10.617 ->  ERROR OCCUR  ~
03:04:10.682 ->  BREAK STOP  ~
03:04:10.748 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:10.812 ->  ERROR OCCUR  ~
03:04:10.875 ->  BREAK STOP  ~
03:04:10.939 ->  ERROR OCCUR  ~
03:04:11.002 ->  BREAK STOP  ~
03:04:11.067 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:11.132 ->  ERROR OCCUR  ~
03:04:11.194 ->  BREAK STOP  ~
03:04:11.259 ->  ERROR OCCUR  ~
03:04:11.321 ->  BREAK STOP  ~
03:04:11.387 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:11.451 ->  ERROR OCCUR  ~
03:04:11.517 ->  BREAK STOP  ~
03:04:11.583 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:11.647 ->  ERROR OCCUR  ~
03:04:11.710 ->  BREAK STOP  ~
03:04:11.774 ->  ERROR OCCUR  ~
03:04:11.836 ->  BREAK STOP  ~
03:04:11.902 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:11.967 ->  ERROR OCCUR  ~
03:04:12.029 ->  BREAK STOP  ~
03:04:12.094 ->  ERROR OCCUR  ~
03:04:12.156 ->  BREAK STOP  ~
03:04:12.220 ->  ERROR OCCUR  ~
03:04:12.283 ->  BREAK STOP  ~
03:04:12.347 ->  ERROR OCCUR  ~
03:04:12.413 ->  BREAK STOP  ~
03:04:12.479 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:12.542 ->  ERROR OCCUR  ~
03:04:12.606 ->  BREAK STOP  ~
03:04:12.671 ->  (108,105,94,94,0.00,100,0)	BREAK STOPPED ~
03:04:12.735 ->  ERROR OCCUR  ~
03:04:12.798 ->  BREAK STOP  ~
03:04:12.862 ->  ERROR OCCUR  ~
03:04:12.925 ->  BREAK STOP  ~
03:04:12.991 ->  (109,108,94,94,0.00,100,0)	BREAK STOPPED ~
03:04:13.054 ->  ERROR OCCUR  ~
03:04:13.118 ->  BREAK STOP  ~
03:04:13.181 ->  ERROR OCCUR  ~
03:04:13.247 ->  BREAK STOP  ~
03:04:13.313 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:13.377 ->  ERROR OCCUR  ~
03:04:13.439 ->  BREAK STOP  ~
03:04:13.505 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:13.569 ->  ERROR OCCUR  ~
03:04:13.633 ->  BREAK STOP  ~
03:04:13.696 ->  ERROR OCCUR  ~
03:04:13.759 ->  BREAK STOP  ~
03:04:13.824 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:13.889 ->  ERROR OCCUR  ~
03:04:13.952 ->  BREAK STOP  ~
03:04:14.018 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:14.083 ->  ERROR OCCUR  ~
03:04:14.147 ->  BREAK STOP  ~
03:04:14.211 ->  ERROR OCCUR  ~
03:04:14.274 ->  BREAK STOP  ~
03:04:14.339 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:14.403 ->  ERROR OCCUR  ~
03:04:14.466 ->  BREAK STOP  ~
03:04:14.533 ->  (108,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:14.596 ->  ERROR OCCUR  ~
03:04:14.660 ->  BREAK STOP  ~
03:04:14.725 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:14.789 ->  ERROR OCCUR  ~
03:04:14.854 ->  BREAK STOP  ~
03:04:14.919 ->  ERROR OCCUR  ~
03:04:14.981 ->  BREAK STOP  ~
03:04:15.047 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:15.111 ->  ERROR OCCUR  ~
03:04:15.174 ->  BREAK STOP  ~
03:04:15.238 ->  ERROR OCCUR  ~
03:04:15.301 ->  BREAK STOP  ~
03:04:15.365 ->  ERROR OCCUR  ~
03:04:15.428 ->  BREAK STOP  ~
03:04:15.492 ->  ERROR OCCUR  ~
03:04:15.556 ->  BREAK STOP  ~
03:04:15.621 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:15.685 ->  ERROR OCCUR  ~
03:04:15.750 ->  BREAK STOP  ~
03:04:15.816 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:15.879 ->  ERROR OCCUR  ~
03:04:15.943 ->  BREAK STOP  ~
03:04:16.006 ->  ERROR OCCUR  ~
03:04:16.069 ->  BREAK STOP  ~
03:04:16.133 ->  ERROR OCCUR  ~
03:04:16.196 ->  BREAK STOP  ~
03:04:16.261 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:16.325 ->  ERROR OCCUR  ~
03:04:16.388 ->  BREAK STOP  ~
03:04:16.454 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:16.517 ->  ERROR OCCUR  ~
03:04:16.583 ->  BREAK STOP  ~
03:04:16.646 ->  ERROR OCCUR  ~
03:04:16.710 ->  BREAK STOP  ~
03:04:16.773 ->  ERROR OCCUR  ~
03:04:16.837 ->  BREAK STOP  ~
03:04:16.901 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:16.966 ->  ERROR OCCUR  ~
03:04:17.028 ->  BREAK STOP  ~
03:04:17.094 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
03:04:17.157 ->  ERROR OCCUR  ~
03:04:17.221 ->  BREAK STOP  ~
03:04:17.284 ->  ERROR OCCUR  ~
