00:00:02.864 ->  SD OK~
00:00:02.948 ->  BREAK STOP~
00:00:03.210 ->  Controller Err~
00:00:04.473 ->  START~
00:00:04.534 ->  ERROR OCCUR  ~
00:00:04.594 ->  BREAK STOP  ~
00:00:04.657 ->  (121,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:04.717 ->  ERROR OCCUR  ~
00:00:04.776 ->  BREAK STOP  ~
00:00:04.839 ->  (109,121,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.899 ->  ERROR OCCUR  ~
00:00:04.960 ->  BREAK STOP  ~
00:00:05.022 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.083 ->  ERROR OCCUR  ~
00:00:05.145 ->  BREAK STOP  ~
00:00:05.206 ->  ERROR OCCUR  ~
00:00:05.266 ->  BREAK STOP  ~
00:00:05.328 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.389 ->  ERROR OCCUR  ~
00:00:05.449 ->  BREAK STOP  ~
00:00:05.510 ->  ERROR OCCUR  ~
00:00:05.570 ->  BREAK STOP  ~
00:00:05.633 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.693 ->  ERROR OCCUR  ~
00:00:05.753 ->  BREAK STOP  ~
00:00:05.816 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.876 ->  ERROR OCCUR  ~
00:00:05.939 ->  BREAK STOP  ~
00:00:06.00 ->  ERROR OCCUR  ~
00:00:06.060 ->  BREAK STOP  ~
00:00:06.122 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.182 ->  ERROR OCCUR  ~
00:00:06.243 ->  BREAK STOP  ~
00:00:06.305 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.366 ->  ERROR OCCUR  ~
00:00:06.426 ->  BREAK STOP  ~
00:00:06.487 ->  ERROR OCCUR  ~
00:00:06.547 ->  BREAK STOP  ~
00:00:06.609 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.670 ->  ERROR OCCUR  ~
00:00:06.733 ->  BREAK STOP  ~
00:00:06.794 ->  ERROR OCCUR  ~
00:00:06.853 ->  BREAK STOP  ~
00:00:06.915 ->  ERROR OCCUR  ~
00:00:06.974 ->  BREAK STOP  ~
00:00:07.034 ->  ERROR OCCUR  ~
00:00:07.095 ->  BREAK STOP  ~
00:00:07.157 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.219 ->  ERROR OCCUR  ~
00:00:07.278 ->  BREAK STOP  ~
