00:00:02.895 ->  SD OK
00:00:02.942 ->  BREAK STOP
00:00:03.197 ->  Controller Set
00:00:04.961 ->  START
00:00:04.999 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:05.045 ->  Battery :0.82 V
00:00:05.104 ->  Speed:0.00 km/hr 
00:00:05.140 ->  Battery :0.82 V
00:00:05.199 ->  Speed:0.00 km/hr 
00:00:05.236 ->  Battery :0.83 V
00:00:05.296 ->  Speed:0.00 km/hr 
00:00:05.332 ->  Battery :0.80 V
00:00:05.392 ->  Speed:0.00 km/hr 
00:00:05.429 ->  Battery :0.80 V
00:00:05.488 ->  Speed:0.00 km/hr 
00:00:05.527 ->  Battery :0.82 V
00:00:05.586 ->  Speed:0.00 km/hr 
00:00:05.622 ->  Battery :0.82 V
00:00:05.683 ->  Speed:0.00 km/hr 
00:00:05.720 ->  Battery :0.80 V
00:00:05.779 ->  Speed:0.00 km/hr 
00:00:05.815 ->  Battery :0.79 V
00:00:05.875 ->  Speed:0.00 km/hr 
00:00:05.911 ->  Battery :0.82 V
00:00:05.970 ->  Speed:0.00 km/hr 
00:00:06.007 ->  Battery :0.77 V
00:00:06.067 ->  Speed:0.00 km/hr 
00:00:06.104 ->  Battery :0.85 V
00:00:06.163 ->  Speed:0.00 km/hr 
00:00:06.200 ->  Battery :0.79 V
00:00:06.262 ->  Speed:0.00 km/hr 
00:00:06.299 ->  Battery :0.82 V
00:00:06.359 ->  Speed:0.00 km/hr 
00:00:06.395 ->  Battery :0.80 V
00:00:06.455 ->  Speed:0.00 km/hr 
00:00:06.491 ->  Battery :0.83 V
00:00:06.550 ->  Speed:0.00 km/hr 
00:00:06.588 ->  Battery :0.80 V
00:00:06.647 ->  Speed:0.00 km/hr 
00:00:06.684 ->  Battery :0.79 V
00:00:06.744 ->  Speed:0.00 km/hr 
00:00:06.779 ->  Battery :0.82 V
00:00:06.840 ->  Speed:0.00 km/hr 
00:00:06.877 ->  Battery :0.83 V
