00:00:02.865 ->  SD OK
00:00:02.895 ->  BREAK STOP
00:00:03.139 ->  Controller Set
00:00:04.890 ->  START
00:00:04.917 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.952 ->  Battery :0.93 V
00:00:00.00 ->  Speed:0.00 km/hr 
00:00:05.043 ->  Battery :0.95 V
00:00:05.091 ->  Speed:0.00 km/hr 
00:00:05.134 ->  Battery :0.93 V
00:00:05.182 ->  Speed:0.00 km/hr 
00:00:05.225 ->  Battery :0.93 V
00:00:05.273 ->  Speed:0.00 km/hr 
00:00:05.316 ->  Battery :0.93 V
00:00:05.364 ->  Speed:0.00 km/hr 
00:00:05.407 ->  Battery :0.93 V
00:00:05.455 ->  Speed:0.00 km/hr 
00:00:05.498 ->  Battery :0.93 V
00:00:05.547 ->  Speed:0.00 km/hr 
00:00:05.590 ->  Battery :0.92 V
00:00:05.638 ->  Speed:0.00 km/hr 
00:00:05.681 ->  Battery :0.92 V
00:00:05.729 ->  Speed:0.00 km/hr 
00:00:05.772 ->  Battery :1.01 V
00:00:05.820 ->  Speed:0.93 km/hr 
00:00:06.135 ->  Battery :0.93 V
00:00:06.183 ->  Speed:0.00 km/hr 
00:00:06.226 ->  Battery :0.85 V
00:00:06.275 ->  Speed:0.00 km/hr 
00:00:06.318 ->  Battery :0.92 V
00:00:06.368 ->  Speed:0.00 km/hr 
00:00:06.409 ->  Battery :1.02 V
00:00:06.457 ->  Speed:0.00 km/hr 
00:00:06.500 ->  Battery :0.95 V
00:00:06.548 ->  Speed:0.00 km/hr 
00:00:06.591 ->  Battery :0.95 V
00:00:06.639 ->  Speed:0.00 km/hr 
00:00:06.682 ->  Battery :0.98 V
00:00:06.730 ->  Speed:0.00 km/hr 
00:00:06.773 ->  Battery :0.92 V
00:00:06.821 ->  Speed:0.00 km/hr 
00:00:06.864 ->  Battery :0.95 V
00:00:06.913 ->  Speed:0.00 km/hr 
00:00:06.956 ->  Battery :0.95 V
00:00:07.004 ->  Speed:0.00 km/hr 
00:00:07.047 ->  Battery :0.93 V
00:00:07.095 ->  Speed:0.00 km/hr 
00:00:07.138 ->  Battery :0.96 V
00:00:07.186 ->  Speed:0.00 km/hr 
00:00:07.259 ->  Battery :0.96 V
00:00:07.307 ->  Speed:0.00 km/hr 
00:00:07.410 ->  Battery :0.96 V
00:00:07.458 ->  Speed:0.00 km/hr 
00:00:07.561 ->  Battery :0.96 V
00:00:07.609 ->  Speed:0.00 km/hr 
00:00:07.712 ->  Battery :0.96 V
00:00:07.760 ->  Speed:0.00 km/hr 
00:00:07.864 ->  Battery :0.96 V
00:00:07.912 ->  Speed:0.00 km/hr 
00:00:08.014 ->  Battery :0.95 V
00:00:08.062 ->  Speed:0.00 km/hr 
00:00:08.166 ->  Battery :0.95 V
00:00:08.214 ->  Speed:0.00 km/hr 
00:00:08.316 ->  Battery :0.95 V
00:00:08.365 ->  Speed:0.00 km/hr 
00:00:08.468 ->  Battery :0.96 V
00:00:08.516 ->  Speed:0.00 km/hr 
00:00:08.619 ->  Battery :0.95 V
00:00:08.667 ->  Speed:0.00 km/hr 
00:00:08.770 ->  Battery :0.96 V
00:00:08.818 ->  Speed:0.00 km/hr 
00:00:08.921 ->  Battery :0.95 V
00:00:08.969 ->  Speed:0.00 km/hr 
00:00:09.072 ->  Battery :0.96 V
00:00:09.123 ->  Speed:0.00 km/hr 
00:00:09.223 ->  Battery :0.96 V
00:00:09.271 ->  Speed:0.00 km/hr 
00:00:09.374 ->  Battery :0.98 V
00:00:09.422 ->  Speed:0.00 km/hr 
00:00:09.525 ->  Battery :0.98 V
00:00:09.573 ->  Speed:0.00 km/hr 
00:00:09.675 ->  Battery :0.98 V
00:00:09.723 ->  Speed:0.00 km/hr 
00:00:09.827 ->  Battery :0.98 V
00:00:09.875 ->  Speed:0.00 km/hr 
00:00:09.977 ->  Battery :0.96 V
00:00:10.025 ->  Speed:0.00 km/hr 
00:00:10.129 ->  Battery :0.98 V
00:00:10.178 ->  Speed:0.00 km/hr 
00:00:10.280 ->  Battery :0.96 V
00:00:10.329 ->  Speed:0.00 km/hr 
00:00:10.431 ->  Battery :0.96 V
00:00:10.480 ->  Speed:0.00 km/hr 
00:00:10.583 ->  Battery :0.96 V
00:00:10.631 ->  Speed:0.00 km/hr 
00:00:10.734 ->  Battery :0.96 V
00:00:10.782 ->  Speed:0.00 km/hr 
00:00:10.885 ->  Battery :0.96 V
00:00:10.933 ->  Speed:0.00 km/hr 
00:00:11.036 ->  Battery :0.96 V
00:00:11.084 ->  Speed:0.00 km/hr 
00:00:11.187 ->  Battery :0.96 V
00:00:11.235 ->  Speed:0.00 km/hr 
00:00:11.338 ->  Battery :0.96 V
00:00:11.386 ->  Speed:0.00 km/hr 
00:00:11.489 ->  Battery :0.96 V
00:00:11.537 ->  Speed:0.00 km/hr 
00:00:11.639 ->  Battery :0.96 V
00:00:11.687 ->  Speed:0.00 km/hr 
00:00:11.791 ->  Battery :0.96 V
00:00:11.839 ->  Speed:0.00 km/hr 
00:00:11.941 ->  Battery :0.98 V
00:00:11.990 ->  Speed:0.00 km/hr 
