00:00:02.753 ->  SD OK
00:00:02.797 ->  BREAK STOP
00:00:03.050 ->  Controller Set
00:00:04.810 ->  START
00:00:04.845 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.889 ->  Battery :0.79 V
00:00:04.945 ->  Speed:0.00 km/hr 
00:00:04.979 ->  Battery :0.86 V
00:00:05.037 ->  Speed:0.00 km/hr 
00:00:05.070 ->  Battery :0.85 V
00:00:05.127 ->  Speed:0.00 km/hr 
00:00:05.161 ->  Battery :0.85 V
00:00:05.218 ->  Speed:0.00 km/hr 
00:00:05.252 ->  Battery :0.85 V
00:00:05.309 ->  Speed:0.00 km/hr 
00:00:05.346 ->  Battery :0.85 V
00:00:05.402 ->  Speed:0.00 km/hr 
00:00:05.436 ->  Battery :0.85 V
00:00:05.493 ->  Speed:0.00 km/hr 
00:00:05.527 ->  Battery :0.85 V
00:00:05.584 ->  Speed:0.00 km/hr 
00:00:05.618 ->  Battery :0.83 V
00:00:05.676 ->  Speed:0.00 km/hr 
00:00:05.710 ->  Battery :0.86 V
00:00:05.767 ->  Speed:0.00 km/hr 
00:00:05.801 ->  Battery :0.86 V
00:00:05.858 ->  Speed:0.00 km/hr 
00:00:05.893 ->  Battery :0.89 V
00:00:05.949 ->  Speed:0.00 km/hr 
00:00:05.984 ->  Battery :0.86 V
00:00:06.043 ->  Speed:0.00 km/hr 
00:00:06.077 ->  Battery :0.86 V
00:00:06.134 ->  Speed:0.00 km/hr 
00:00:06.168 ->  Battery :0.87 V
00:00:06.224 ->  Speed:0.00 km/hr 
00:00:06.259 ->  Battery :0.87 V
00:00:06.316 ->  Speed:0.00 km/hr 
00:00:06.350 ->  Battery :0.87 V
00:00:06.407 ->  Speed:0.00 km/hr 
00:00:06.441 ->  Battery :0.86 V
00:00:06.498 ->  Speed:0.00 km/hr 
00:00:06.532 ->  Battery :0.86 V
00:00:06.589 ->  Speed:0.00 km/hr 
00:00:06.623 ->  Battery :0.86 V
00:00:06.680 ->  Speed:0.00 km/hr 
00:00:06.717 ->  Battery :0.86 V
00:00:06.773 ->  Speed:0.00 km/hr 
00:00:06.866 ->  Battery :0.87 V
00:00:06.924 ->  Speed:0.00 km/hr 
00:00:07.018 ->  Battery :0.86 V
00:00:07.075 ->  Speed:0.00 km/hr 
00:00:07.169 ->  Battery :0.85 V
00:00:07.226 ->  Speed:0.00 km/hr 
00:00:07.320 ->  Battery :0.86 V
00:00:07.377 ->  Speed:0.00 km/hr 
00:00:07.471 ->  Battery :0.86 V
00:00:07.528 ->  Speed:0.00 km/hr 
00:00:07.622 ->  Battery :0.85 V
00:00:07.680 ->  Speed:0.00 km/hr 
00:00:07.773 ->  Battery :0.85 V
00:00:07.830 ->  Speed:0.00 km/hr 
00:00:07.923 ->  Battery :0.85 V
00:00:07.994 ->  Speed:0.00 km/hr 
00:00:08.075 ->  Battery :0.86 V
00:00:08.132 ->  Speed:0.00 km/hr 
00:00:08.225 ->  Battery :0.85 V
00:00:08.283 ->  Speed:0.00 km/hr 
00:00:08.377 ->  Battery :0.85 V
00:00:08.434 ->  Speed:0.00 km/hr 
00:00:08.527 ->  Battery :0.85 V
00:00:08.585 ->  Speed:0.00 km/hr 
00:00:08.679 ->  Battery :0.86 V
00:00:08.736 ->  Speed:0.00 km/hr 
00:00:08.829 ->  Battery :0.85 V
00:00:08.890 ->  Speed:0.00 km/hr 
00:00:08.981 ->  Battery :0.85 V
00:00:09.038 ->  Speed:0.00 km/hr 
00:00:09.133 ->  Battery :0.86 V
00:00:09.189 ->  Speed:0.00 km/hr 
00:00:09.284 ->  Battery :0.86 V
00:00:09.340 ->  Speed:0.00 km/hr 
00:00:09.435 ->  Battery :0.86 V
00:00:09.491 ->  Speed:0.00 km/hr 
00:00:09.585 ->  Battery :0.86 V
00:00:09.643 ->  Speed:0.00 km/hr 
00:00:09.737 ->  Battery :0.86 V
00:00:09.793 ->  Speed:0.00 km/hr 
00:00:09.887 ->  Battery :0.86 V
00:00:09.944 ->  Speed:0.00 km/hr 
00:00:10.039 ->  Battery :0.85 V
00:00:10.095 ->  Speed:0.00 km/hr 
00:00:10.189 ->  Battery :0.86 V
00:00:10.246 ->  Speed:0.00 km/hr 
00:00:10.341 ->  Battery :0.86 V
00:00:10.397 ->  Speed:0.00 km/hr 
00:00:10.491 ->  Battery :0.83 V
00:00:10.548 ->  Speed:0.00 km/hr 
00:00:10.643 ->  Battery :0.85 V
00:00:10.699 ->  Speed:0.00 km/hr 
00:00:10.793 ->  Battery :0.86 V
00:00:10.850 ->  Speed:0.00 km/hr 
00:00:10.945 ->  Battery :0.85 V
00:00:11.001 ->  Speed:0.00 km/hr 
00:00:11.096 ->  Battery :0.86 V
00:00:11.152 ->  Speed:0.00 km/hr 
00:00:11.247 ->  Battery :0.85 V
00:00:11.303 ->  Speed:0.00 km/hr 
00:00:11.398 ->  Battery :0.86 V
00:00:11.454 ->  Speed:0.00 km/hr 
00:00:11.549 ->  Battery :0.86 V
00:00:11.606 ->  Speed:0.00 km/hr 
00:00:11.700 ->  Battery :0.85 V
00:00:11.756 ->  Speed:0.00 km/hr 
00:00:11.850 ->  Battery :0.86 V
00:00:11.907 ->  Speed:0.00 km/hr 
00:00:12.002 ->  Battery :0.86 V
00:00:12.058 ->  Speed:0.00 km/hr 
00:00:12.152 ->  Battery :0.85 V
00:00:12.212 ->  Speed:0.00 km/hr 
00:00:12.304 ->  Battery :0.86 V
00:00:12.360 ->  Speed:0.00 km/hr 
00:00:12.454 ->  Battery :0.86 V
00:00:12.511 ->  Speed:0.00 km/hr 
00:00:12.606 ->  Battery :0.85 V
00:00:12.663 ->  Speed:0.00 km/hr 
00:00:12.756 ->  Battery :0.87 V
00:00:12.814 ->  Speed:0.00 km/hr 
00:00:12.908 ->  Battery :0.86 V
00:00:12.965 ->  Speed:0.00 km/hr 
00:00:13.059 ->  Battery :0.86 V
00:00:13.116 ->  Speed:0.00 km/hr 
00:00:13.210 ->  Battery :0.86 V
00:00:13.270 ->  Speed:0.00 km/hr 
00:00:13.361 ->  Battery :0.86 V
00:00:13.418 ->  Speed:0.00 km/hr 
00:00:13.512 ->  Battery :0.85 V
00:00:13.570 ->  Speed:0.00 km/hr 
00:00:13.664 ->  Battery :0.86 V
00:00:13.721 ->  Speed:0.00 km/hr 
00:00:13.814 ->  Battery :0.86 V
00:00:13.872 ->  Speed:0.00 km/hr 
00:00:13.966 ->  Battery :0.85 V
00:00:14.023 ->  Speed:0.00 km/hr 
00:00:14.116 ->  Battery :0.86 V
00:00:14.174 ->  Speed:0.00 km/hr 
00:00:14.268 ->  Battery :0.85 V
00:00:14.325 ->  Speed:0.00 km/hr 
00:00:14.419 ->  Battery :0.86 V
00:00:14.476 ->  Speed:0.00 km/hr 
00:00:14.571 ->  Battery :0.86 V
