00:00:02.760 ->  SD OK
00:00:02.810 ->  BREAK STOP
00:00:03.065 ->  Controller Set
00:00:04.828 ->  START
00:00:04.865 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.911 ->  Battery :0.80 V
00:00:04.969 ->  Speed:0.00 km/hr 
00:00:05.006 ->  Battery :0.87 V
00:00:05.064 ->  Speed:0.00 km/hr 
00:00:05.100 ->  Battery :0.86 V
00:00:05.159 ->  Speed:0.00 km/hr 
00:00:05.196 ->  Battery :0.86 V
00:00:05.255 ->  Speed:0.00 km/hr 
00:00:05.291 ->  Battery :0.86 V
00:00:05.350 ->  Speed:0.00 km/hr 
00:00:05.389 ->  Battery :0.86 V
00:00:05.448 ->  Speed:0.00 km/hr 
00:00:05.484 ->  Battery :0.85 V
00:00:05.543 ->  Speed:0.00 km/hr 
00:00:05.579 ->  Battery :0.85 V
00:00:05.639 ->  Speed:0.00 km/hr 
00:00:05.675 ->  Battery :0.85 V
00:00:05.734 ->  Speed:0.00 km/hr 
00:00:05.771 ->  Battery :0.86 V
00:00:05.829 ->  Speed:0.00 km/hr 
00:00:05.866 ->  Battery :0.86 V
00:00:05.924 ->  Speed:0.00 km/hr 
00:00:05.961 ->  Battery :0.80 V
00:00:06.021 ->  Speed:0.00 km/hr 
00:00:06.056 ->  Battery :0.89 V
00:00:06.118 ->  Speed:0.00 km/hr 
00:00:06.155 ->  Battery :0.86 V
00:00:06.214 ->  Speed:0.00 km/hr 
00:00:06.250 ->  Battery :0.87 V
00:00:06.309 ->  Speed:0.00 km/hr 
00:00:06.345 ->  Battery :0.87 V
00:00:06.405 ->  Speed:0.00 km/hr 
00:00:06.440 ->  Battery :0.87 V
00:00:06.500 ->  Speed:0.00 km/hr 
00:00:06.536 ->  Battery :0.87 V
00:00:06.595 ->  Speed:0.00 km/hr 
00:00:06.631 ->  Battery :0.86 V
00:00:06.690 ->  Speed:0.00 km/hr 
00:00:06.727 ->  Battery :0.87 V
00:00:06.786 ->  Speed:0.00 km/hr 
00:00:06.846 ->  Battery :0.89 V
00:00:06.905 ->  Speed:0.00 km/hr 
00:00:06.996 ->  Battery :0.85 V
00:00:07.056 ->  Speed:0.00 km/hr 
00:00:07.148 ->  Battery :0.86 V
00:00:07.207 ->  Speed:0.00 km/hr 
00:00:07.299 ->  Battery :0.86 V
00:00:07.358 ->  Speed:0.00 km/hr 
00:00:07.450 ->  Battery :0.85 V
00:00:07.510 ->  Speed:0.00 km/hr 
00:00:07.602 ->  Battery :0.86 V
00:00:07.661 ->  Speed:0.00 km/hr 
00:00:07.752 ->  Battery :0.86 V
00:00:07.812 ->  Speed:0.00 km/hr 
00:00:07.904 ->  Battery :0.85 V
00:00:07.963 ->  Speed:0.00 km/hr 
00:00:08.054 ->  Battery :0.86 V
00:00:08.114 ->  Speed:0.00 km/hr 
00:00:08.206 ->  Battery :0.86 V
00:00:08.265 ->  Speed:0.00 km/hr 
00:00:08.356 ->  Battery :0.86 V
00:00:08.416 ->  Speed:0.00 km/hr 
00:00:08.508 ->  Battery :0.86 V
