00:00:02.875 ->  SD OK
00:00:02.906 ->  BREAK STOP
00:00:03.149 ->  Controller Set
00:00:04.901 ->  START
00:00:04.928 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.962 ->  Battery :0.73 V
00:00:05.010 ->  Speed:0.00 km/hr 
00:00:05.052 ->  Battery :0.76 V
00:00:05.100 ->  Speed:0.00 km/hr 
00:00:05.143 ->  Battery :0.76 V
00:00:05.191 ->  Speed:0.00 km/hr 
00:00:05.234 ->  Battery :0.76 V
00:00:05.282 ->  Speed:0.00 km/hr 
00:00:05.325 ->  Battery :0.76 V
00:00:05.373 ->  Speed:0.00 km/hr 
00:00:05.416 ->  Battery :0.76 V
00:00:05.465 ->  Speed:0.00 km/hr 
00:00:05.508 ->  Battery :0.76 V
00:00:05.556 ->  Speed:0.00 km/hr 
00:00:05.599 ->  Battery :0.76 V
00:00:05.647 ->  Speed:0.00 km/hr 
00:00:05.689 ->  Battery :0.76 V
00:00:05.737 ->  Speed:0.00 km/hr 
00:00:05.780 ->  Battery :0.77 V
00:00:05.828 ->  Speed:0.00 km/hr 
00:00:05.871 ->  Battery :0.76 V
00:00:05.919 ->  Speed:0.00 km/hr 
00:00:05.962 ->  Battery :0.70 V
00:00:06.010 ->  Speed:0.00 km/hr 
00:00:06.053 ->  Battery :0.76 V
00:00:06.104 ->  Speed:0.00 km/hr 
00:00:06.145 ->  Battery :0.76 V
00:00:06.193 ->  Speed:0.00 km/hr 
00:00:06.236 ->  Battery :0.85 V
00:00:06.284 ->  Speed:0.00 km/hr 
00:00:06.327 ->  Battery :0.77 V
00:00:06.375 ->  Speed:0.00 km/hr 
00:00:06.417 ->  Battery :0.77 V
00:00:06.465 ->  Speed:0.00 km/hr 
00:00:06.508 ->  Battery :0.83 V
00:00:06.556 ->  Speed:0.00 km/hr 
00:00:06.599 ->  Battery :0.77 V
00:00:06.647 ->  Speed:0.00 km/hr 
00:00:06.733 ->  Battery :0.79 V
00:00:06.781 ->  Speed:0.00 km/hr 
00:00:06.885 ->  Battery :0.77 V
00:00:06.933 ->  Speed:0.00 km/hr 
00:00:07.035 ->  Battery :0.77 V
00:00:07.085 ->  Speed:0.00 km/hr 
00:00:07.187 ->  Battery :0.77 V
00:00:07.235 ->  Speed:0.00 km/hr 
00:00:07.337 ->  Battery :0.77 V
00:00:07.386 ->  Speed:0.00 km/hr 
00:00:07.489 ->  Battery :0.76 V
00:00:07.537 ->  Speed:0.00 km/hr 
00:00:07.640 ->  Battery :0.76 V
00:00:07.688 ->  Speed:0.00 km/hr 
00:00:07.790 ->  Battery :0.76 V
00:00:07.838 ->  Speed:0.00 km/hr 
00:00:07.942 ->  Battery :0.76 V
00:00:07.991 ->  Speed:0.00 km/hr 
00:00:08.092 ->  Battery :0.76 V
00:00:08.140 ->  Speed:0.00 km/hr 
00:00:08.244 ->  Battery :0.77 V
00:00:08.293 ->  Speed:0.00 km/hr 
00:00:08.395 ->  Battery :0.77 V
00:00:08.442 ->  Speed:0.00 km/hr 
00:00:08.546 ->  Battery :0.77 V
00:00:08.595 ->  Speed:0.00 km/hr 
00:00:08.697 ->  Battery :0.77 V
00:00:08.745 ->  Speed:0.00 km/hr 
00:00:08.849 ->  Battery :0.77 V
00:00:08.897 ->  Speed:0.00 km/hr 
