00:00:02.875 ->  SD OK~
00:00:02.959 ->  BREAK STOP~
00:00:03.221 ->  Controller Err~
00:00:04.486 ->  START~
00:00:04.546 ->  ERROR OCCUR  ~
00:00:04.605 ->  BREAK STOP  ~
00:00:04.668 ->  (123,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:04.729 ->  ERROR OCCUR  ~
00:00:04.790 ->  BREAK STOP  ~
00:00:04.852 ->  (110,123,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.913 ->  ERROR OCCUR  ~
00:00:04.973 ->  BREAK STOP  ~
00:00:05.036 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.096 ->  ERROR OCCUR  ~
00:00:05.159 ->  BREAK STOP  ~
00:00:05.220 ->  ERROR OCCUR  ~
00:00:05.280 ->  BREAK STOP  ~
00:00:05.343 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.403 ->  ERROR OCCUR  ~
00:00:05.464 ->  BREAK STOP  ~
00:00:05.524 ->  ERROR OCCUR  ~
00:00:05.584 ->  BREAK STOP  ~
00:00:05.647 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.708 ->  ERROR OCCUR  ~
00:00:05.769 ->  BREAK STOP  ~
00:00:05.829 ->  ERROR OCCUR  ~
00:00:05.890 ->  BREAK STOP  ~
00:00:05.951 ->  ERROR OCCUR  ~
00:00:06.013 ->  BREAK STOP  ~
00:00:06.076 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.136 ->  ERROR OCCUR  ~
00:00:06.197 ->  BREAK STOP  ~
00:00:06.259 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.321 ->  ERROR OCCUR  ~
00:00:06.381 ->  BREAK STOP  ~
00:00:06.441 ->  ERROR OCCUR  ~
00:00:06.502 ->  BREAK STOP  ~
00:00:06.562 ->  ERROR OCCUR  ~
00:00:06.623 ->  BREAK STOP  ~
00:00:06.685 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.747 ->  ERROR OCCUR  ~
00:00:06.809 ->  BREAK STOP  ~
00:00:06.872 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.933 ->  ERROR OCCUR  ~
00:00:06.993 ->  BREAK STOP  ~
00:00:07.054 ->  ERROR OCCUR  ~
00:00:07.114 ->  BREAK STOP  ~
00:00:07.175 ->  ERROR OCCUR  ~
00:00:07.235 ->  BREAK STOP  ~
00:00:07.296 ->  ERROR OCCUR  ~
00:00:07.356 ->  BREAK STOP  ~
00:00:07.417 ->  ERROR OCCUR  ~
00:00:07.478 ->  BREAK STOP  ~
00:00:07.540 ->  (109,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.601 ->  ERROR OCCUR  ~
00:00:07.663 ->  BREAK STOP  ~
00:00:07.726 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.787 ->  ERROR OCCUR  ~
00:00:07.847 ->  BREAK STOP  ~
00:00:07.908 ->  ERROR OCCUR  ~
00:00:07.968 ->  BREAK STOP  ~
00:00:08.031 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.092 ->  ERROR OCCUR  ~
00:00:08.153 ->  BREAK STOP  ~
00:00:08.213 ->  ERROR OCCUR  ~
00:00:08.273 ->  BREAK STOP  ~
00:00:08.336 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.397 ->  ERROR OCCUR  ~
00:00:08.460 ->  BREAK STOP  ~
00:00:08.522 ->  (108,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:08.583 ->  ERROR OCCUR  ~
