00:00:03.289 ->  SD OK~
00:00:03.374 ->  BREAK STOP~
00:00:03.635 ->  Controller Err~
00:00:04.899 ->  START~
00:00:04.959 ->  ERROR OCCUR  ~
00:00:05.019 ->  BREAK STOP  ~
00:00:05.081 ->  (122,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.142 ->  ERROR OCCUR  ~
00:00:05.201 ->  BREAK STOP  ~
00:00:05.264 ->  (110,122,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.324 ->  ERROR OCCUR  ~
00:00:05.384 ->  BREAK STOP  ~
00:00:05.446 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.507 ->  ERROR OCCUR  ~
00:00:05.569 ->  BREAK STOP  ~
00:00:05.632 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.692 ->  ERROR OCCUR  ~
00:00:05.752 ->  BREAK STOP  ~
00:00:05.813 ->  ERROR OCCUR  ~
00:00:05.873 ->  BREAK STOP  ~
00:00:05.935 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.996 ->  ERROR OCCUR  ~
00:00:06.055 ->  BREAK STOP  ~
00:00:06.116 ->  ERROR OCCUR  ~
00:00:06.176 ->  BREAK STOP  ~
00:00:06.237 ->  ERROR OCCUR  ~
00:00:06.297 ->  BREAK STOP  ~
00:00:06.359 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.422 ->  ERROR OCCUR  ~
00:00:06.482 ->  BREAK STOP  ~
00:00:06.545 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.605 ->  ERROR OCCUR  ~
00:00:06.666 ->  BREAK STOP  ~
00:00:06.726 ->  ERROR OCCUR  ~
00:00:06.786 ->  BREAK STOP  ~
00:00:06.848 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.908 ->  ERROR OCCUR  ~
00:00:06.969 ->  BREAK STOP  ~
00:00:07.031 ->  (108,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.092 ->  ERROR OCCUR  ~
00:00:07.155 ->  BREAK STOP  ~
00:00:07.217 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.278 ->  ERROR OCCUR  ~
00:00:07.337 ->  BREAK STOP  ~
00:00:07.398 ->  ERROR OCCUR  ~
00:00:07.458 ->  BREAK STOP  ~
00:00:07.519 ->  ERROR OCCUR  ~
00:00:07.579 ->  BREAK STOP  ~
00:00:07.642 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.702 ->  ERROR OCCUR  ~
00:00:07.761 ->  BREAK STOP  ~
00:00:07.824 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.884 ->  ERROR OCCUR  ~
00:00:07.948 ->  BREAK STOP  ~
00:00:08.008 ->  ERROR OCCUR  ~
00:00:08.068 ->  BREAK STOP  ~
00:00:08.128 ->  ERROR OCCUR  ~
00:00:08.188 ->  BREAK STOP  ~
00:00:08.251 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.311 ->  ERROR OCCUR  ~
00:00:08.372 ->  BREAK STOP  ~
00:00:08.434 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.495 ->  ERROR OCCUR  ~
00:00:08.554 ->  BREAK STOP  ~
00:00:08.615 ->  ERROR OCCUR  ~
00:00:08.675 ->  BREAK STOP  ~
00:00:08.737 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.801 ->  ERROR OCCUR  ~
