00:00:02.835 ->  SD OK~
00:00:02.913 ->  BREAK STOP~
00:00:03.169 ->  Controller Err~
00:00:04.427 ->  START~
00:00:04.483 ->  ERROR OCCUR  ~
00:00:04.537 ->  BREAK STOP  ~
00:00:04.594 ->  (123,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:04.649 ->  ERROR OCCUR  ~
00:00:04.704 ->  BREAK STOP  ~
00:00:04.760 ->  (112,123,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:04.815 ->  ERROR OCCUR  ~
00:00:04.870 ->  BREAK STOP  ~
00:00:04.927 ->  (111,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.982 ->  ERROR OCCUR  ~
00:00:05.039 ->  BREAK STOP  ~
00:00:05.096 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.151 ->  ERROR OCCUR  ~
00:00:05.206 ->  BREAK STOP  ~
00:00:05.263 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.318 ->  ERROR OCCUR  ~
00:00:05.372 ->  BREAK STOP  ~
00:00:05.430 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.485 ->  ERROR OCCUR  ~
00:00:05.539 ->  BREAK STOP  ~
00:00:05.595 ->  ERROR OCCUR  ~
00:00:05.649 ->  BREAK STOP  ~
00:00:05.706 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.764 ->  ERROR OCCUR  ~
00:00:05.819 ->  BREAK STOP  ~
00:00:05.874 ->  ERROR OCCUR  ~
00:00:05.928 ->  BREAK STOP  ~
00:00:05.984 ->  ERROR OCCUR  ~
00:00:06.038 ->  BREAK STOP  ~
00:00:06.095 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.151 ->  ERROR OCCUR  ~
00:00:06.205 ->  BREAK STOP  ~
00:00:06.262 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.318 ->  ERROR OCCUR  ~
00:00:06.372 ->  BREAK STOP  ~
00:00:06.427 ->  ERROR OCCUR  ~
00:00:06.484 ->  BREAK STOP  ~
00:00:06.542 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.596 ->  ERROR OCCUR  ~
00:00:06.651 ->  BREAK STOP  ~
00:00:06.708 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.778 ->  ERROR OCCUR  ~
00:00:06.834 ->  BREAK STOP  ~
00:00:06.888 ->  ERROR OCCUR  ~
00:00:06.943 ->  BREAK STOP  ~
00:00:06.999 ->  ERROR OCCUR  ~
00:00:07.053 ->  BREAK STOP  ~
00:00:07.110 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.211 ->  ERROR OCCUR  ~
00:00:07.268 ->  BREAK STOP  ~
00:00:07.324 ->  (108,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.380 ->  ERROR OCCUR  ~
00:00:07.435 ->  BREAK STOP  ~
00:00:07.491 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.546 ->  ERROR OCCUR  ~
00:00:07.602 ->  BREAK STOP  ~
00:00:07.657 ->  ERROR OCCUR  ~
00:00:07.711 ->  BREAK STOP  ~
00:00:07.768 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.823 ->  ERROR OCCUR  ~
00:00:07.878 ->  BREAK STOP  ~
00:00:07.934 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.993 ->  ERROR OCCUR  ~
00:00:08.047 ->  BREAK STOP  ~
00:00:08.102 ->  ERROR OCCUR  ~
00:00:08.157 ->  BREAK STOP  ~
00:00:08.214 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
