00:00:02.00-1156 ->  SD OK~
00:00:02.00-1085 ->  BREAK STOP~
00:00:03.00-2816 ->  Controller Set~
00:00:04.00-3039 ->  START~
00:00:05.00-4987 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:05.00-4927 ->  LOCK~
00:00:05.00-4877 ->  Battery :12.31 V~
00:00:05.00-4806 ->  Speed:0.00 km/hr ~
00:00:05.00-4755 ->  Battery :12.34 V~
00:00:05.00-4683 ->  Speed:0.00 km/hr ~
00:00:05.00-4633 ->  Battery :12.39 V~
00:00:05.00-4561 ->  Speed:0.00 km/hr ~
00:00:05.00-4510 ->  Battery :12.37 V~
00:00:05.00-4438 ->  Speed:0.00 km/hr ~
00:00:05.00-4385 ->  Battery :12.36 V~
00:00:05.00-4313 ->  Speed:0.00 km/hr ~
00:00:05.00-4263 ->  Battery :12.39 V~
00:00:05.00-4190 ->  Speed:0.00 km/hr ~
00:00:05.00-4140 ->  Battery :12.37 V~
00:00:05.00-4068 ->  Speed:0.00 km/hr ~
00:00:05.00-4017 ->  Battery :12.33 V~
00:00:06.00-5946 ->  Speed:0.00 km/hr ~
00:00:06.00-5895 ->  Battery :12.37 V~
00:00:06.00-5823 ->  Speed:0.00 km/hr ~
00:00:06.00-5773 ->  Battery :12.41 V~
00:00:06.00-5700 ->  Speed:0.00 km/hr ~
00:00:06.00-5647 ->  Battery :12.40 V~
00:00:06.00-5561 ->  Speed:0.00 km/hr ~
00:00:06.00-5509 ->  Battery :12.40 V~
00:00:06.00-5438 ->  Speed:0.00 km/hr ~
00:00:06.00-5386 ->  Battery :12.36 V~
00:00:06.00-5315 ->  Speed:0.00 km/hr ~
00:00:06.00-5265 ->  Battery :12.39 V~
00:00:06.00-5192 ->  Speed:0.00 km/hr ~
00:00:06.00-5142 ->  Battery :12.43 V~
00:00:06.00-5070 ->  Speed:0.00 km/hr ~
00:00:06.00-5019 ->  Battery :12.43 V~
00:00:07.00-6947 ->  Speed:0.00 km/hr ~
00:00:07.00-6897 ->  Battery :12.34 V~
00:00:07.00-6822 ->  Speed:0.00 km/hr ~
00:00:07.00-6771 ->  Battery :12.40 V~
00:00:07.00-6699 ->  Speed:0.00 km/hr ~
00:00:07.00-6649 ->  Battery :12.31 V~
00:00:07.00-6578 ->  Speed:0.00 km/hr ~
00:00:07.00-6526 ->  Battery :12.43 V~
00:00:07.00-6455 ->  Speed:0.00 km/hr ~
00:00:07.00-6403 ->  Battery :12.34 V~
00:00:07.00-6332 ->  Speed:0.00 km/hr ~
00:00:07.00-6282 ->  Battery :12.44 V~
00:00:07.00-6209 ->  Speed:0.00 km/hr ~
00:00:07.00-6159 ->  Battery :12.24 V~
00:00:07.00-6087 ->  Speed:0.00 km/hr ~
00:00:07.00-6034 ->  Battery :12.37 V~
00:00:08.00-7962 ->  Speed:0.00 km/hr ~
00:00:08.00-7911 ->  Battery :12.39 V~
00:00:08.00-7839 ->  Speed:0.00 km/hr ~
00:00:08.00-7788 ->  Battery :12.34 V~
00:00:08.00-7716 ->  Speed:0.00 km/hr ~
00:00:08.00-7666 ->  Battery :12.37 V~
00:00:08.00-7594 ->  Speed:0.00 km/hr ~
00:00:08.00-7543 ->  Battery :12.39 V~
00:00:08.00-7472 ->  Speed:0.00 km/hr ~
00:00:08.00-7420 ->  Battery :12.41 V~
00:00:08.00-7349 ->  Speed:0.00 km/hr ~
00:00:08.00-7295 ->  Battery :12.40 V~
00:00:08.00-7224 ->  Speed:0.00 km/hr ~
00:00:08.00-7174 ->  Battery :12.43 V~
00:00:08.00-7101 ->  Speed:0.00 km/hr ~
00:00:08.00-7043 ->  Battery :12.41 V~
00:00:09.00-8971 ->  Speed:0.00 km/hr ~
00:00:09.00-8891 ->  Battery :12.44 V~
00:00:09.00-8819 ->  Speed:0.00 km/hr ~
00:00:09.00-8740 ->  Battery :12.36 V~
00:00:09.00-8669 ->  Speed:0.00 km/hr ~
00:00:09.00-8590 ->  Battery :12.39 V~
00:00:09.00-8518 ->  Speed:0.00 km/hr ~
00:00:09.00-8438 ->  Battery :12.36 V~
00:00:09.00-8364 ->  Speed:0.00 km/hr ~
00:00:09.00-8288 ->  Battery :12.43 V~
00:00:09.00-8216 ->  Speed:0.00 km/hr ~
00:00:09.00-8136 ->  Battery :12.37 V~
00:00:09.00-8065 ->  Speed:0.00 km/hr ~
00:00:10.00-9986 ->  Battery :12.39 V~
00:00:10.00-9914 ->  Speed:0.00 km/hr ~
