00:00:02.877 ->  SD OK
00:00:02.927 ->  BREAK STOP
00:00:03.182 ->  Controller Set
00:00:04.945 ->  START
00:00:04.982 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:05.028 ->  Battery :0.36 V
00:00:05.088 ->  Speed:0.00 km/hr 
00:00:05.125 ->  Battery :0.38 V
00:00:05.184 ->  Speed:0.00 km/hr 
00:00:05.221 ->  Battery :0.38 V
00:00:05.280 ->  Speed:0.00 km/hr 
00:00:05.316 ->  Battery :0.41 V
00:00:05.376 ->  Speed:0.00 km/hr 
00:00:05.412 ->  Battery :0.41 V
00:00:05.472 ->  Speed:0.00 km/hr 
00:00:05.511 ->  Battery :0.39 V
00:00:05.570 ->  Speed:0.00 km/hr 
00:00:05.607 ->  Battery :0.39 V
00:00:05.666 ->  Speed:0.00 km/hr 
00:00:05.703 ->  Battery :0.42 V
00:00:05.763 ->  Speed:0.00 km/hr 
00:00:05.799 ->  Battery :0.42 V
00:00:05.859 ->  Speed:0.00 km/hr 
00:00:05.895 ->  Battery :0.48 V
00:00:05.954 ->  Speed:0.00 km/hr 
00:00:05.991 ->  Battery :0.48 V
00:00:06.051 ->  Speed:0.00 km/hr 
00:00:06.087 ->  Battery :0.48 V
00:00:06.147 ->  Speed:0.00 km/hr 
00:00:06.183 ->  Battery :0.48 V
00:00:06.246 ->  Speed:0.00 km/hr 
00:00:06.283 ->  Battery :0.52 V
00:00:06.342 ->  Speed:0.00 km/hr 
00:00:06.378 ->  Battery :0.52 V
00:00:06.437 ->  Speed:0.00 km/hr 
00:00:06.474 ->  Battery :0.49 V
00:00:06.534 ->  Speed:0.00 km/hr 
00:00:06.571 ->  Battery :0.49 V
00:00:06.630 ->  Speed:0.00 km/hr 
00:00:06.667 ->  Battery :0.51 V
00:00:06.726 ->  Speed:0.00 km/hr 
00:00:06.763 ->  Battery :0.51 V
00:00:06.822 ->  Speed:0.00 km/hr 
00:00:06.859 ->  Battery :0.51 V
00:00:06.919 ->  Speed:0.00 km/hr 
00:00:06.958 ->  Battery :0.49 V
00:00:07.018 ->  Speed:0.00 km/hr 
00:00:07.102 ->  Battery :0.52 V
00:00:07.162 ->  Speed:0.00 km/hr 
00:00:07.252 ->  Battery :0.52 V
00:00:07.312 ->  Speed:0.00 km/hr 
00:00:07.404 ->  Battery :0.52 V
00:00:07.463 ->  Speed:0.00 km/hr 
00:00:07.555 ->  Battery :0.51 V
00:00:07.615 ->  Speed:0.00 km/hr 
00:00:07.707 ->  Battery :0.51 V
00:00:07.767 ->  Speed:0.00 km/hr 
00:00:07.857 ->  Battery :0.54 V
00:00:07.917 ->  Speed:0.00 km/hr 
00:00:08.009 ->  Battery :0.54 V
00:00:08.069 ->  Speed:0.00 km/hr 
