00:00:02.692 ->  SD OK
00:00:02.717 ->  BREAK STOP
00:00:02.956 ->  Controller Set
00:00:04.702 ->  START
00:00:04.723 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.853 ->  Battery :12.17 V
00:00:04.955 ->  Battery :12.17 V
00:00:05.055 ->  Battery :12.17 V
00:00:05.156 ->  Battery :12.15 V
00:00:05.257 ->  Battery :12.15 V
00:00:05.358 ->  Battery :12.17 V
00:00:05.459 ->  Battery :12.17 V
00:00:05.560 ->  Battery :12.17 V
00:00:05.863 ->  Battery :0.01 V
00:00:06.874 ->  Battery :-193.09 V
00:00:06.974 ->  Battery :0.00 V
00:00:07.581 ->  Battery :170.57 V
00:00:07.683 ->  Battery :0.01 V
00:00:07.783 ->  Battery :0.07 V
00:00:07.883 ->  Battery :0.11 V
00:00:07.986 ->  Battery :0.41 V
00:00:08.288 ->  Battery :121.12 V
00:00:08.591 ->  Battery :0.52 V
00:00:08.692 ->  Battery :12.15 V
00:00:08.794 ->  Battery :0.01 V
00:00:08.894 ->  Battery :-199.74 V
00:00:09.198 ->  Battery :12.24 V
00:00:09.501 ->  Battery :-84.87 V
00:00:09.603 ->  Battery :121.17 V
00:00:09.702 ->  Battery :0.00 V
00:00:10.006 ->  Battery :12.15 V
00:00:10.107 ->  Battery :0.04 V
00:00:10.208 ->  Battery :12.71 V
00:00:10.309 ->  Battery :12.17 V
00:00:10.411 ->  Battery :0.08 V
00:00:10.511 ->  Battery :0.00 V
00:00:11.622 ->  Battery :0.10 V
00:00:11.926 ->  Battery :12.12 V
00:00:12.229 ->  Battery :12.17 V
00:00:12.331 ->  Battery :0.00 V
00:00:12.431 ->  Battery :12.12 V
00:00:12.532 ->  Battery :12.15 V
00:00:12.634 ->  Battery :0.01 V
00:00:13.341 ->  Battery :0.01 V
00:00:13.643 ->  Battery :0.00 V
00:00:14.251 ->  Battery :0.01 V
00:00:14.351 ->  Battery :0.12 V
00:00:15.059 ->  Battery :0.01 V
00:00:15.160 ->  Battery :0.52 V
00:00:15.766 ->  Battery :0.01 V
00:00:15.867 ->  Battery :0.12 V
00:00:15.968 ->  Battery :2.17 V
00:00:16.069 ->  Battery :12.18 V
00:00:16.171 ->  Battery :0.01 V
00:00:16.271 ->  Battery :1.21 V
00:00:16.372 ->  Battery :0.17 V
00:00:16.474 ->  Battery :0.01 V
00:00:16.574 ->  Battery :0.17 V
00:00:16.675 ->  Battery :0.01 V
00:00:16.979 ->  Battery :-98.55 V
00:00:17.080 ->  Battery :0.05 V
00:00:17.181 ->  Battery :0.01 V
00:00:17.283 ->  Battery :0.01 V
00:00:17.586 ->  Battery :1.21 V
00:00:17.686 ->  Battery :12.15 V
00:00:17.787 ->  Battery :0.12 V
00:00:18.091 ->  Battery :187.68 V
00:00:18.394 ->  Battery :0.10 V
00:00:18.697 ->  Battery :0.01 V
00:00:18.798 ->  Battery :1.21 V
00:00:19.100 ->  Battery :0.07 V
00:00:20.212 ->  Battery :1.20 V
00:00:20.314 ->  Battery :1.21 V
00:00:20.414 ->  Battery :0.01 V
00:00:20.717 ->  Battery :0.01 V
00:00:21.324 ->  Battery :1.21 V
00:00:21.425 ->  Battery :0.52 V
00:00:21.526 ->  Battery :0.00 V
00:00:22.334 ->  Battery :121.17 V
00:00:22.435 ->  Battery :1.21 V
00:00:22.739 ->  Battery :1.07 V
00:00:22.840 ->  Battery :0.51 V
00:00:23.244 ->  Battery :0.17 V
00:00:23.547 ->  Battery :1.22 V
00:00:23.648 ->  Battery :0.02 V
00:00:24.154 ->  Battery :-120.68 V
00:00:24.254 ->  Battery :0.01 V
00:00:24.558 ->  Battery :0.12 V
00:00:24.659 ->  Battery :121.78 V
00:00:25.467 ->  Battery :12.14 V
00:00:25.568 ->  Battery :0.52 V
00:00:25.870 ->  Battery :1.21 V
00:00:25.972 ->  Battery :1.21 V
00:00:26.172 ->  Battery :281.78 V
00:00:29.431 ->  Battery :12.14 V
00:00:29.533 ->  Battery :12.15 V
00:00:29.633 ->  Battery :12.15 V
00:00:29.734 ->  Battery :12.15 V
00:00:29.835 ->  Battery :12.14 V
00:00:29.936 ->  Battery :12.14 V
00:00:30.038 ->  Battery :12.14 V
00:00:30.138 ->  Battery :12.15 V
00:00:30.239 ->  Battery :12.15 V
00:00:30.341 ->  Battery :12.14 V
00:00:30.441 ->  Battery :12.14 V
00:00:30.542 ->  Battery :12.14 V
00:00:30.644 ->  Battery :12.14 V
00:00:30.745 ->  Battery :12.14 V
00:00:30.846 ->  Battery :12.11 V
00:00:30.946 ->  Battery :12.15 V
00:00:31.048 ->  Battery :12.14 V
00:00:31.150 ->  Battery :12.15 V
00:00:31.250 ->  Battery :12.15 V
00:00:31.351 ->  Battery :12.12 V
00:00:31.455 ->  Battery :12.14 V
00:00:31.557 ->  Battery :12.14 V
00:00:31.661 ->  Battery :12.12 V
00:00:31.764 ->  Battery :12.15 V
00:00:31.866 ->  Battery :12.15 V
00:00:31.970 ->  Battery :12.14 V
00:00:32.073 ->  Battery :12.15 V
00:00:32.176 ->  Battery :12.14 V
00:00:32.279 ->  Battery :12.14 V
00:00:32.381 ->  Battery :12.14 V
00:00:32.485 ->  Battery :12.11 V
00:00:32.588 ->  Battery :12.12 V
00:00:32.691 ->  Battery :12.12 V
00:00:32.794 ->  Battery :12.14 V
00:00:32.898 ->  Battery :12.15 V
00:00:00.00 ->  Battery :12.14 V
00:00:33.103 ->  Battery :12.15 V
00:00:33.207 ->  Battery :12.14 V
00:00:33.310 ->  Battery :12.14 V
00:00:33.414 ->  Battery :12.15 V
00:00:33.516 ->  Battery :12.15 V
00:00:33.619 ->  Battery :12.14 V
00:00:33.723 ->  Battery :12.14 V
00:00:33.825 ->  Battery :12.14 V
00:00:33.929 ->  Battery :12.15 V
00:00:34.032 ->  Battery :12.15 V
00:00:34.135 ->  Battery :12.11 V
00:00:34.238 ->  Battery :12.12 V
00:00:34.340 ->  Battery :12.14 V
00:00:34.444 ->  Battery :12.14 V
00:00:34.547 ->  Battery :12.14 V
00:00:34.650 ->  Battery :12.14 V
00:00:34.754 ->  Battery :12.15 V
00:00:34.856 ->  Battery :12.12 V
00:00:34.960 ->  Battery :12.12 V
00:00:35.063 ->  Battery :12.14 V
00:00:35.167 ->  Battery :12.14 V
00:00:35.270 ->  Battery :12.15 V
00:00:35.374 ->  Battery :12.14 V
00:00:35.476 ->  Battery :12.14 V
00:00:35.579 ->  Battery :12.14 V
00:00:35.683 ->  Battery :12.15 V
00:00:35.785 ->  Battery :12.12 V
00:00:35.889 ->  Battery :12.14 V
00:00:35.992 ->  Battery :12.12 V
00:00:36.094 ->  Battery :12.14 V
00:00:36.198 ->  Battery :12.14 V
00:00:36.300 ->  Battery :12.14 V
00:00:36.404 ->  Battery :12.12 V
00:00:36.507 ->  Battery :12.14 V
00:00:36.610 ->  Battery :12.14 V
00:00:36.713 ->  Battery :12.14 V
