00:00:03.260 ->  SD OK~
00:00:03.339 ->  BREAK STOP~
00:00:03.595 ->  Controller Err~
00:00:04.854 ->  START~
00:00:04.910 ->  ERROR OCCUR  ~
00:00:04.964 ->  BREAK STOP  ~
00:00:05.021 ->  (122,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.076 ->  ERROR OCCUR  ~
00:00:05.132 ->  BREAK STOP  ~
00:00:05.188 ->  (110,122,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.243 ->  ERROR OCCUR  ~
00:00:05.299 ->  BREAK STOP  ~
00:00:05.356 ->  (108,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.411 ->  ERROR OCCUR  ~
00:00:05.469 ->  BREAK STOP  ~
00:00:05.524 ->  ERROR OCCUR  ~
00:00:05.579 ->  BREAK STOP  ~
00:00:05.637 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.692 ->  ERROR OCCUR  ~
00:00:05.747 ->  BREAK STOP  ~
00:00:05.803 ->  ERROR OCCUR  ~
00:00:05.857 ->  BREAK STOP  ~
00:00:05.913 ->  ERROR OCCUR  ~
00:00:05.967 ->  BREAK STOP  ~
00:00:06.025 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.080 ->  ERROR OCCUR  ~
00:00:06.135 ->  BREAK STOP  ~
00:00:06.193 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.251 ->  ERROR OCCUR  ~
00:00:06.305 ->  BREAK STOP  ~
00:00:06.361 ->  ERROR OCCUR  ~
00:00:06.416 ->  BREAK STOP  ~
00:00:06.473 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.529 ->  ERROR OCCUR  ~
00:00:06.584 ->  BREAK STOP  ~
00:00:06.641 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.696 ->  ERROR OCCUR  ~
00:00:06.751 ->  BREAK STOP  ~
00:00:06.807 ->  ERROR OCCUR  ~
00:00:06.862 ->  BREAK STOP  ~
00:00:06.920 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.977 ->  ERROR OCCUR  ~
00:00:07.032 ->  BREAK STOP  ~
00:00:07.090 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.145 ->  ERROR OCCUR  ~
00:00:07.200 ->  BREAK STOP  ~
00:00:07.256 ->  ERROR OCCUR  ~
00:00:07.310 ->  BREAK STOP  ~
00:00:07.367 ->  (108,107,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:07.424 ->  ERROR OCCUR  ~
00:00:07.478 ->  BREAK STOP  ~
00:00:07.535 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.590 ->  ERROR OCCUR  ~
00:00:07.648 ->  BREAK STOP  ~
00:00:07.705 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.761 ->  ERROR OCCUR  ~
00:00:07.816 ->  BREAK STOP  ~
00:00:07.871 ->  ERROR OCCUR  ~
00:00:07.926 ->  BREAK STOP  ~
00:00:07.984 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.039 ->  ERROR OCCUR  ~
00:00:08.094 ->  BREAK STOP  ~
00:00:08.150 ->  ERROR OCCUR  ~
00:00:08.204 ->  BREAK STOP  ~
00:00:08.261 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.317 ->  ERROR OCCUR  ~
00:00:08.375 ->  BREAK STOP  ~
00:00:08.432 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.487 ->  ERROR OCCUR  ~
00:00:08.542 ->  BREAK STOP  ~
00:00:08.599 ->  (94,107,94,94,0.00,100,1)	BREAK STOPPED ~
00:00:08.654 ->  ERROR OCCUR  ~
00:00:08.710 ->  BREAK STOP  ~
00:00:08.767 ->  (108,94,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.822 ->  ERROR OCCUR  ~
00:00:08.878 ->  BREAK STOP  ~
00:00:08.935 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.990 ->  ERROR OCCUR  ~
00:00:09.048 ->  BREAK STOP  ~
00:00:09.103 ->  ERROR OCCUR  ~
00:00:09.158 ->  BREAK STOP  ~
00:00:09.213 ->  ERROR OCCUR  ~
00:00:09.269 ->  BREAK STOP  ~
00:00:09.325 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.381 ->  ERROR OCCUR  ~
00:00:09.436 ->  BREAK STOP  ~
00:00:09.493 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.549 ->  ERROR OCCUR  ~
00:00:09.604 ->  BREAK STOP  ~
00:00:09.660 ->  ERROR OCCUR  ~
00:00:09.714 ->  BREAK STOP  ~
00:00:09.772 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.830 ->  ERROR OCCUR  ~
00:00:09.884 ->  BREAK STOP  ~
00:00:09.939 ->  ERROR OCCUR  ~
00:00:09.995 ->  BREAK STOP  ~
00:00:10.050 ->  ERROR OCCUR  ~
00:00:10.104 ->  BREAK STOP  ~
00:00:10.160 ->  ERROR OCCUR  ~
00:00:10.215 ->  BREAK STOP  ~
00:00:10.270 ->  ERROR OCCUR  ~
00:00:10.324 ->  BREAK STOP  ~
00:00:10.382 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.437 ->  ERROR OCCUR  ~
00:00:10.492 ->  BREAK STOP  ~
00:00:10.550 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.607 ->  ERROR OCCUR  ~
00:00:10.662 ->  BREAK STOP  ~
00:00:10.718 ->  ERROR OCCUR  ~
00:00:10.772 ->  BREAK STOP  ~
00:00:10.827 ->  ERROR OCCUR  ~
00:00:10.883 ->  BREAK STOP  ~
00:00:10.940 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.995 ->  ERROR OCCUR  ~
00:00:11.049 ->  BREAK STOP  ~
00:00:11.107 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.162 ->  ERROR OCCUR  ~
00:00:11.217 ->  BREAK STOP  ~
00:00:11.273 ->  ERROR OCCUR  ~
00:00:11.330 ->  BREAK STOP  ~
00:00:11.385 ->  ERROR OCCUR  ~
00:00:11.441 ->  BREAK STOP  ~
00:00:11.497 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.553 ->  ERROR OCCUR  ~
00:00:11.608 ->  BREAK STOP  ~
00:00:11.665 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
