00:00:03.255 ->  SD OK~
00:00:03.334 ->  BREAK STOP~
00:00:03.590 ->  Controller Err~
00:00:04.849 ->  START~
00:00:04.903 ->  ERROR OCCUR  ~
00:00:04.959 ->  BREAK STOP  ~
00:00:05.015 ->  (121,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.071 ->  ERROR OCCUR  ~
00:00:05.126 ->  BREAK STOP  ~
00:00:05.183 ->  (109,121,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.238 ->  ERROR OCCUR  ~
00:00:05.293 ->  BREAK STOP  ~
00:00:05.350 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.405 ->  ERROR OCCUR  ~
00:00:05.463 ->  BREAK STOP  ~
00:00:05.520 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.575 ->  ERROR OCCUR  ~
00:00:05.629 ->  BREAK STOP  ~
00:00:05.686 ->  ERROR OCCUR  ~
00:00:05.740 ->  BREAK STOP  ~
00:00:05.797 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.853 ->  ERROR OCCUR  ~
00:00:05.907 ->  BREAK STOP  ~
00:00:05.963 ->  ERROR OCCUR  ~
00:00:06.018 ->  BREAK STOP  ~
00:00:06.073 ->  ERROR OCCUR  ~
00:00:06.128 ->  BREAK STOP  ~
00:00:06.183 ->  ERROR OCCUR  ~
00:00:06.241 ->  BREAK STOP  ~
00:00:06.298 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.353 ->  ERROR OCCUR  ~
00:00:06.408 ->  BREAK STOP  ~
00:00:06.465 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.520 ->  ERROR OCCUR  ~
00:00:06.576 ->  BREAK STOP  ~
00:00:06.631 ->  ERROR OCCUR  ~
00:00:06.686 ->  BREAK STOP  ~
00:00:06.743 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.799 ->  ERROR OCCUR  ~
00:00:06.853 ->  BREAK STOP  ~
00:00:06.910 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.969 ->  ERROR OCCUR  ~
00:00:07.023 ->  BREAK STOP  ~
