00:00:02.744 ->  SD OK
00:00:02.788 ->  BREAK STOP
00:00:03.041 ->  Controller Set
00:00:04.800 ->  START
00:00:04.835 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:05.150 ->  Battery :0.85 V
00:00:05.207 ->  Speed:0.00 km/hr 
00:00:05.240 ->  Battery :0.85 V
00:00:05.297 ->  Speed:0.00 km/hr 
00:00:05.331 ->  Battery :0.85 V
00:00:05.388 ->  Speed:0.00 km/hr 
00:00:05.423 ->  Battery :0.85 V
00:00:05.479 ->  Speed:0.00 km/hr 
00:00:05.514 ->  Battery :0.85 V
00:00:05.570 ->  Speed:0.00 km/hr 
00:00:05.606 ->  Battery :0.85 V
00:00:05.662 ->  Speed:0.00 km/hr 
00:00:05.696 ->  Battery :0.83 V
00:00:05.752 ->  Speed:0.00 km/hr 
00:00:05.787 ->  Battery :0.83 V
00:00:05.843 ->  Speed:0.00 km/hr 
00:00:05.878 ->  Battery :0.83 V
00:00:05.935 ->  Speed:0.85 km/hr 
00:00:06.244 ->  Battery :0.86 V
00:00:06.300 ->  Speed:0.00 km/hr 
00:00:06.334 ->  Battery :0.86 V
00:00:06.390 ->  Speed:0.00 km/hr 
00:00:06.424 ->  Battery :0.86 V
00:00:06.480 ->  Speed:0.00 km/hr 
00:00:06.515 ->  Battery :0.86 V
00:00:06.575 ->  Speed:0.00 km/hr 
00:00:06.608 ->  Battery :0.86 V
00:00:06.665 ->  Speed:0.00 km/hr 
00:00:06.699 ->  Battery :0.85 V
00:00:06.755 ->  Speed:0.00 km/hr 
00:00:06.790 ->  Battery :0.85 V
00:00:06.846 ->  Speed:0.00 km/hr 
00:00:06.881 ->  Battery :0.86 V
00:00:06.937 ->  Speed:0.00 km/hr 
00:00:06.972 ->  Battery :0.86 V
00:00:07.028 ->  Speed:0.00 km/hr 
00:00:07.062 ->  Battery :0.86 V
00:00:07.118 ->  Speed:0.00 km/hr 
00:00:07.153 ->  Battery :0.87 V
00:00:07.209 ->  Speed:0.00 km/hr 
00:00:07.246 ->  Battery :0.87 V
00:00:07.303 ->  Speed:0.00 km/hr 
00:00:07.336 ->  Battery :0.86 V
00:00:07.393 ->  Speed:0.00 km/hr 
00:00:07.428 ->  Battery :0.86 V
00:00:07.484 ->  Speed:0.00 km/hr 
00:00:07.579 ->  Battery :0.86 V
00:00:07.635 ->  Speed:0.00 km/hr 
00:00:07.730 ->  Battery :0.85 V
00:00:07.786 ->  Speed:0.00 km/hr 
00:00:07.881 ->  Battery :0.83 V
00:00:07.938 ->  Speed:0.00 km/hr 
00:00:08.032 ->  Battery :0.86 V
00:00:08.088 ->  Speed:0.00 km/hr 
00:00:08.182 ->  Battery :0.86 V
00:00:08.239 ->  Speed:0.00 km/hr 
00:00:08.334 ->  Battery :0.86 V
00:00:08.390 ->  Speed:0.00 km/hr 
00:00:08.484 ->  Battery :0.86 V
00:00:08.541 ->  Speed:0.00 km/hr 
00:00:08.636 ->  Battery :0.86 V
00:00:08.692 ->  Speed:0.00 km/hr 
00:00:08.786 ->  Battery :0.86 V
00:00:08.843 ->  Speed:0.00 km/hr 
00:00:08.938 ->  Battery :0.86 V
00:00:08.994 ->  Speed:0.00 km/hr 
00:00:09.089 ->  Battery :0.85 V
00:00:09.145 ->  Speed:0.00 km/hr 
00:00:09.240 ->  Battery :0.86 V
00:00:09.299 ->  Speed:0.00 km/hr 
00:00:09.391 ->  Battery :0.86 V
00:00:09.447 ->  Speed:0.00 km/hr 
00:00:09.542 ->  Battery :0.85 V
00:00:09.598 ->  Speed:0.00 km/hr 
00:00:09.693 ->  Battery :0.85 V
00:00:09.749 ->  Speed:0.00 km/hr 
00:00:09.844 ->  Battery :0.85 V
00:00:09.901 ->  Speed:0.00 km/hr 
00:00:09.995 ->  Battery :0.85 V
00:00:10.051 ->  Speed:0.00 km/hr 
00:00:10.145 ->  Battery :0.86 V
00:00:10.202 ->  Speed:0.00 km/hr 
00:00:10.297 ->  Battery :0.85 V
00:00:10.353 ->  Speed:0.00 km/hr 
00:00:10.447 ->  Battery :0.86 V
00:00:10.504 ->  Speed:0.00 km/hr 
00:00:10.599 ->  Battery :0.86 V
00:00:10.655 ->  Speed:0.00 km/hr 
00:00:10.749 ->  Battery :0.86 V
00:00:10.806 ->  Speed:0.00 km/hr 
00:00:10.901 ->  Battery :0.86 V
00:00:10.957 ->  Speed:0.00 km/hr 
00:00:11.052 ->  Battery :0.86 V
00:00:11.108 ->  Speed:0.00 km/hr 
00:00:11.203 ->  Battery :0.85 V
00:00:11.259 ->  Speed:0.00 km/hr 
00:00:11.354 ->  Battery :0.86 V
00:00:11.411 ->  Speed:0.00 km/hr 
00:00:11.505 ->  Battery :0.86 V
00:00:11.561 ->  Speed:0.00 km/hr 
00:00:11.656 ->  Battery :0.85 V
00:00:11.712 ->  Speed:0.00 km/hr 
00:00:11.808 ->  Battery :0.86 V
00:00:11.864 ->  Speed:0.00 km/hr 
00:00:11.958 ->  Battery :0.86 V
00:00:12.014 ->  Speed:0.00 km/hr 
00:00:12.109 ->  Battery :0.85 V
00:00:12.165 ->  Speed:0.00 km/hr 
00:00:12.261 ->  Battery :0.86 V
00:00:12.317 ->  Speed:0.00 km/hr 
00:00:12.411 ->  Battery :0.85 V
00:00:12.467 ->  Speed:0.00 km/hr 
00:00:12.563 ->  Battery :0.86 V
00:00:12.621 ->  Speed:0.00 km/hr 
00:00:12.713 ->  Battery :0.86 V
00:00:12.770 ->  Speed:0.00 km/hr 
00:00:12.865 ->  Battery :0.86 V
00:00:12.921 ->  Speed:0.00 km/hr 
00:00:13.016 ->  Battery :0.86 V
00:00:13.072 ->  Speed:0.00 km/hr 
00:00:13.167 ->  Battery :0.86 V
00:00:13.223 ->  Speed:0.00 km/hr 
00:00:13.318 ->  Battery :0.85 V
00:00:13.374 ->  Speed:0.00 km/hr 
00:00:13.469 ->  Battery :0.86 V
00:00:13.526 ->  Speed:0.00 km/hr 
00:00:13.620 ->  Battery :0.86 V
00:00:13.678 ->  Speed:0.00 km/hr 
00:00:13.771 ->  Battery :0.86 V
00:00:13.828 ->  Speed:0.00 km/hr 
00:00:13.922 ->  Battery :0.86 V
00:00:13.978 ->  Speed:0.00 km/hr 
00:00:14.072 ->  Battery :0.85 V
00:00:14.129 ->  Speed:0.00 km/hr 
00:00:14.224 ->  Battery :0.86 V
00:00:14.280 ->  Speed:0.00 km/hr 
00:00:14.374 ->  Battery :0.86 V
00:00:14.431 ->  Speed:0.00 km/hr 
00:00:14.526 ->  Battery :0.85 V
00:00:14.582 ->  Speed:0.00 km/hr 
00:00:14.676 ->  Battery :0.85 V
00:00:14.733 ->  Speed:0.00 km/hr 
00:00:14.828 ->  Battery :0.86 V
00:00:14.884 ->  Speed:0.00 km/hr 
00:00:14.979 ->  Battery :0.85 V
00:00:15.035 ->  Speed:0.00 km/hr 
