00:00:03.243 ->  SD OK~
00:00:03.318 ->  BREAK STOP~
00:00:03.571 ->  Controller Err~
00:00:04.828 ->  START~
00:00:04.880 ->  ERROR OCCUR  ~
00:00:04.931 ->  BREAK STOP  ~
00:00:04.985 ->  (123,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.039 ->  ERROR OCCUR  ~
00:00:05.090 ->  BREAK STOP  ~
00:00:05.144 ->  (110,123,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.196 ->  ERROR OCCUR  ~
00:00:05.249 ->  BREAK STOP  ~
00:00:05.303 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.355 ->  ERROR OCCUR  ~
00:00:05.409 ->  BREAK STOP  ~
00:00:05.462 ->  ERROR OCCUR  ~
00:00:05.514 ->  BREAK STOP  ~
00:00:05.568 ->  (107,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.621 ->  ERROR OCCUR  ~
00:00:05.672 ->  BREAK STOP  ~
00:00:05.726 ->  ERROR OCCUR  ~
00:00:05.777 ->  BREAK STOP  ~
00:00:05.830 ->  ERROR OCCUR  ~
00:00:05.881 ->  BREAK STOP  ~
00:00:05.936 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.989 ->  ERROR OCCUR  ~
00:00:06.040 ->  BREAK STOP  ~
00:00:06.094 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.151 ->  ERROR OCCUR  ~
00:00:06.202 ->  BREAK STOP  ~
00:00:06.254 ->  ERROR OCCUR  ~
00:00:06.306 ->  BREAK STOP  ~
00:00:06.361 ->  (108,107,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:06.414 ->  ERROR OCCUR  ~
00:00:06.465 ->  BREAK STOP  ~
00:00:06.519 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.573 ->  ERROR OCCUR  ~
00:00:06.624 ->  BREAK STOP  ~
00:00:06.678 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.731 ->  ERROR OCCUR  ~
00:00:06.786 ->  BREAK STOP  ~
00:00:06.840 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.893 ->  ERROR OCCUR  ~
00:00:06.944 ->  BREAK STOP  ~
00:00:06.999 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.052 ->  ERROR OCCUR  ~
00:00:07.104 ->  BREAK STOP  ~
00:00:07.158 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.211 ->  ERROR OCCUR  ~
00:00:07.263 ->  BREAK STOP  ~
00:00:07.315 ->  ERROR OCCUR  ~
00:00:07.367 ->  BREAK STOP  ~
