00:00:33.907 ->  SD OK~
00:00:33.994 ->  BREAK STOP~
00:00:34.259 ->  Controller Err~
00:00:35.526 ->  START~
00:00:35.589 ->  ERROR OCCUR  ~
00:00:35.652 ->  BREAK STOP  ~
00:00:35.717 ->  (121,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:35.781 ->  ERROR OCCUR  ~
00:00:35.844 ->  BREAK STOP  ~
00:00:35.909 ->  (108,121,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:35.973 ->  ERROR OCCUR  ~
00:00:36.035 ->  BREAK STOP  ~
00:00:36.099 ->  ERROR OCCUR  ~
00:00:36.162 ->  BREAK STOP  ~
00:00:36.227 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:36.293 ->  ERROR OCCUR  ~
00:00:36.356 ->  BREAK STOP  ~
00:00:36.420 ->  ERROR OCCUR  ~
00:00:36.483 ->  BREAK STOP  ~
00:00:36.548 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:36.612 ->  ERROR OCCUR  ~
00:00:36.674 ->  BREAK STOP  ~
00:00:36.740 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:36.804 ->  ERROR OCCUR  ~
00:00:36.867 ->  BREAK STOP  ~
00:00:36.932 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:36.996 ->  ERROR OCCUR  ~
00:00:37.061 ->  BREAK STOP  ~
00:00:37.142 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:37.206 ->  ERROR OCCUR  ~
00:00:37.269 ->  BREAK STOP  ~
00:00:37.331 ->  ERROR OCCUR  ~
00:00:37.395 ->  BREAK STOP  ~
00:00:37.460 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:37.524 ->  ERROR OCCUR  ~
00:00:37.587 ->  BREAK STOP  ~
00:00:37.651 ->  ERROR OCCUR  ~
00:00:37.713 ->  BREAK STOP  ~
00:00:37.779 ->  (107,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:37.842 ->  ERROR OCCUR  ~
00:00:37.908 ->  BREAK STOP  ~
00:00:37.974 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:38.037 ->  ERROR OCCUR  ~
00:00:38.100 ->  BREAK STOP  ~
00:00:38.164 ->  ERROR OCCUR  ~
00:00:38.226 ->  BREAK STOP  ~
00:00:38.292 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:38.355 ->  ERROR OCCUR  ~
00:00:38.419 ->  BREAK STOP  ~
00:00:38.482 ->  ERROR OCCUR  ~
00:00:38.545 ->  BREAK STOP  ~
00:00:38.610 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:38.674 ->  ERROR OCCUR  ~
00:00:38.739 ->  BREAK STOP  ~
00:00:38.805 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:38.868 ->  ERROR OCCUR  ~
00:00:38.932 ->  BREAK STOP  ~
00:00:38.998 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:39.061 ->  ERROR OCCUR  ~
00:00:39.123 ->  BREAK STOP  ~
00:00:39.189 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:39.252 ->  ERROR OCCUR  ~
00:00:39.316 ->  BREAK STOP  ~
00:00:39.379 ->  ERROR OCCUR  ~
00:00:39.442 ->  BREAK STOP  ~
00:00:39.507 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:39.574 ->  ERROR OCCUR  ~
00:00:39.638 ->  BREAK STOP  ~
00:00:39.701 ->  ERROR OCCUR  ~
00:00:39.763 ->  BREAK STOP  ~
00:00:39.827 ->  ERROR OCCUR  ~
00:00:39.890 ->  BREAK STOP  ~
00:00:39.956 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:40.019 ->  ERROR OCCUR  ~
00:00:40.082 ->  BREAK STOP  ~
00:00:40.147 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:40.212 ->  ERROR OCCUR  ~
00:00:40.274 ->  BREAK STOP  ~
00:00:40.340 ->  (108,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:40.407 ->  ERROR OCCUR  ~
00:00:40.469 ->  BREAK STOP  ~
00:00:40.535 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:40.598 ->  ERROR OCCUR  ~
00:00:40.662 ->  BREAK STOP  ~
00:00:40.726 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:40.791 ->  ERROR OCCUR  ~
00:00:40.853 ->  BREAK STOP  ~
00:00:40.916 ->  ERROR OCCUR  ~
00:00:40.980 ->  BREAK STOP  ~
00:00:41.046 ->  (106,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:41.109 ->  ERROR OCCUR  ~
00:00:41.175 ->  BREAK STOP  ~
00:00:41.239 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:41.304 ->  ERROR OCCUR  ~
00:00:41.366 ->  BREAK STOP  ~
00:00:41.430 ->  ERROR OCCUR  ~
00:00:41.492 ->  BREAK STOP  ~
00:00:41.558 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:41.621 ->  ERROR OCCUR  ~
00:00:41.684 ->  BREAK STOP  ~
00:00:41.747 ->  ERROR OCCUR  ~
00:00:41.810 ->  BREAK STOP  ~
00:00:41.874 ->  ERROR OCCUR  ~
00:00:41.936 ->  BREAK STOP  ~
00:00:42.00 ->  ERROR OCCUR  ~
00:00:42.065 ->  BREAK STOP  ~
00:00:42.130 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:42.194 ->  ERROR OCCUR  ~
00:00:42.257 ->  BREAK STOP  ~
00:00:42.322 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:42.386 ->  ERROR OCCUR  ~
00:00:42.448 ->  BREAK STOP  ~
00:00:42.512 ->  ERROR OCCUR  ~
00:00:42.574 ->  BREAK STOP  ~
00:00:42.640 ->  (107,106,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:42.703 ->  ERROR OCCUR  ~
00:00:42.766 ->  BREAK STOP  ~
00:00:42.831 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:42.898 ->  ERROR OCCUR  ~
00:00:42.960 ->  BREAK STOP  ~
00:00:43.024 ->  ERROR OCCUR  ~
00:00:43.087 ->  BREAK STOP  ~
00:00:43.153 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:43.216 ->  ERROR OCCUR  ~
00:00:43.280 ->  BREAK STOP  ~
00:00:43.343 ->  ERROR OCCUR  ~
00:00:43.406 ->  BREAK STOP  ~
00:00:43.471 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:43.535 ->  ERROR OCCUR  ~
00:00:43.598 ->  BREAK STOP  ~
00:00:43.664 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:43.729 ->  ERROR OCCUR  ~
00:00:43.793 ->  BREAK STOP  ~
00:00:43.858 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:43.922 ->  ERROR OCCUR  ~
00:00:43.985 ->  BREAK STOP  ~
00:00:44.050 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:44.113 ->  ERROR OCCUR  ~
00:00:44.177 ->  BREAK STOP  ~
00:00:44.242 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:44.306 ->  ERROR OCCUR  ~
00:00:44.369 ->  BREAK STOP  ~
00:00:44.434 ->  (106,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:44.500 ->  ERROR OCCUR  ~
00:00:44.563 ->  BREAK STOP  ~
00:00:44.628 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
