00:00:02.699 ->  SD OK
00:00:02.731 ->  BREAK STOP
00:00:02.974 ->  Controller Set
00:00:04.726 ->  START
00:00:04.753 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.788 ->  Battery :0.74 V
00:00:04.836 ->  Speed:0.00 km/hr 
00:00:04.878 ->  Battery :0.79 V
00:00:04.926 ->  Speed:0.00 km/hr 
00:00:04.969 ->  Battery :0.79 V
00:00:05.017 ->  Speed:0.00 km/hr 
00:00:05.060 ->  Battery :0.79 V
00:00:05.108 ->  Speed:0.00 km/hr 
00:00:05.151 ->  Battery :0.79 V
00:00:05.199 ->  Speed:0.00 km/hr 
00:00:05.242 ->  Battery :0.79 V
00:00:05.291 ->  Speed:0.00 km/hr 
00:00:05.334 ->  Battery :0.79 V
00:00:05.382 ->  Speed:0.00 km/hr 
00:00:05.425 ->  Battery :0.79 V
00:00:05.473 ->  Speed:0.00 km/hr 
00:00:05.516 ->  Battery :0.79 V
00:00:05.564 ->  Speed:0.00 km/hr 
00:00:05.606 ->  Battery :0.80 V
00:00:05.654 ->  Speed:0.00 km/hr 
00:00:05.697 ->  Battery :0.80 V
00:00:05.745 ->  Speed:0.00 km/hr 
00:00:05.788 ->  Battery :0.79 V
00:00:05.836 ->  Speed:0.00 km/hr 
00:00:05.879 ->  Battery :0.79 V
00:00:05.931 ->  Speed:0.00 km/hr 
00:00:05.970 ->  Battery :0.79 V
00:00:06.019 ->  Speed:0.00 km/hr 
00:00:06.062 ->  Battery :0.76 V
00:00:06.110 ->  Speed:0.00 km/hr 
00:00:06.153 ->  Battery :0.79 V
00:00:06.201 ->  Speed:0.00 km/hr 
00:00:06.244 ->  Battery :0.80 V
00:00:06.292 ->  Speed:0.00 km/hr 
00:00:06.335 ->  Battery :0.86 V
00:00:06.383 ->  Speed:0.00 km/hr 
00:00:06.426 ->  Battery :0.79 V
00:00:06.474 ->  Speed:0.00 km/hr 
00:00:06.562 ->  Battery :0.80 V
00:00:06.610 ->  Speed:0.00 km/hr 
00:00:06.714 ->  Battery :0.79 V
00:00:06.762 ->  Speed:0.00 km/hr 
00:00:06.864 ->  Battery :0.79 V
00:00:06.913 ->  Speed:0.00 km/hr 
00:00:07.016 ->  Battery :0.79 V
00:00:07.064 ->  Speed:0.00 km/hr 
00:00:07.166 ->  Battery :0.79 V
00:00:07.215 ->  Speed:0.00 km/hr 
00:00:07.318 ->  Battery :0.79 V
00:00:07.366 ->  Speed:0.00 km/hr 
00:00:07.469 ->  Battery :0.79 V
00:00:07.517 ->  Speed:0.00 km/hr 
00:00:07.620 ->  Battery :0.79 V
00:00:07.668 ->  Speed:0.00 km/hr 
00:00:07.771 ->  Battery :0.79 V
00:00:07.819 ->  Speed:0.00 km/hr 
00:00:07.921 ->  Battery :0.79 V
00:00:07.969 ->  Speed:0.00 km/hr 
00:00:08.073 ->  Battery :0.79 V
00:00:08.121 ->  Speed:0.00 km/hr 
00:00:08.223 ->  Battery :0.79 V
00:00:08.271 ->  Speed:0.00 km/hr 
00:00:08.375 ->  Battery :0.80 V
00:00:08.423 ->  Speed:0.00 km/hr 
00:00:08.525 ->  Battery :0.79 V
00:00:08.573 ->  Speed:0.00 km/hr 
00:00:08.677 ->  Battery :0.79 V
00:00:08.725 ->  Speed:0.00 km/hr 
00:00:08.827 ->  Battery :0.79 V
00:00:08.879 ->  Speed:0.00 km/hr 
00:00:08.979 ->  Battery :0.79 V
00:00:09.027 ->  Speed:0.00 km/hr 
00:00:09.129 ->  Battery :0.80 V
00:00:09.178 ->  Speed:0.00 km/hr 
00:00:09.281 ->  Battery :0.79 V
00:00:09.329 ->  Speed:0.00 km/hr 
00:00:09.432 ->  Battery :0.80 V
00:00:09.480 ->  Speed:0.00 km/hr 
00:00:09.583 ->  Battery :0.80 V
00:00:09.632 ->  Speed:0.00 km/hr 
00:00:09.734 ->  Battery :0.79 V
00:00:09.783 ->  Speed:0.00 km/hr 
00:00:09.884 ->  Battery :0.80 V
00:00:09.933 ->  Speed:0.00 km/hr 
00:00:10.037 ->  Battery :0.80 V
00:00:10.085 ->  Speed:0.00 km/hr 
00:00:10.186 ->  Battery :0.79 V
00:00:10.235 ->  Speed:0.00 km/hr 
00:00:10.339 ->  Battery :0.79 V
00:00:10.387 ->  Speed:0.00 km/hr 
00:00:10.489 ->  Battery :0.79 V
00:00:10.537 ->  Speed:0.00 km/hr 
00:00:10.641 ->  Battery :0.79 V
00:00:10.689 ->  Speed:0.00 km/hr 
00:00:10.791 ->  Battery :0.77 V
00:00:10.840 ->  Speed:0.00 km/hr 
00:00:10.943 ->  Battery :0.79 V
00:00:10.991 ->  Speed:0.00 km/hr 
00:00:11.094 ->  Battery :0.79 V
00:00:11.142 ->  Speed:0.00 km/hr 
00:00:11.245 ->  Battery :0.80 V
00:00:11.293 ->  Speed:0.00 km/hr 
00:00:11.396 ->  Battery :0.79 V
00:00:11.444 ->  Speed:0.00 km/hr 
00:00:11.547 ->  Battery :0.79 V
00:00:11.595 ->  Speed:0.00 km/hr 
00:00:11.698 ->  Battery :0.80 V
