00:00:00.835 ->  SD OK~
00:00:00.911 ->  BREAK STOP~
00:00:00.164 ->  Controller Err~
00:00:00.420 ->  START~
00:00:00.472 ->  ERROR OCCUR  ~
00:00:00.524 ->  BREAK STOP  ~
00:00:00.578 ->  (126,92,94,92,0.00,100,0)	BREAK STOPPED ~
00:00:00.630 ->  ERROR OCCUR  ~
00:00:00.682 ->  BREAK STOP  ~
00:00:00.737 ->  (112,126,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.789 ->  ERROR OCCUR  ~
00:00:00.841 ->  BREAK STOP  ~
00:00:00.895 ->  (111,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.947 ->  ERROR OCCUR  ~
00:00:00.002 ->  BREAK STOP  ~
00:00:00.056 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.109 ->  ERROR OCCUR  ~
00:00:00.160 ->  BREAK STOP  ~
00:00:00.214 ->  ERROR OCCUR  ~
00:00:00.266 ->  BREAK STOP  ~
00:00:00.320 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.372 ->  ERROR OCCUR  ~
00:00:00.425 ->  BREAK STOP  ~
00:00:00.477 ->  ERROR OCCUR  ~
00:00:00.529 ->  BREAK STOP  ~
00:00:00.583 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.636 ->  ERROR OCCUR  ~
00:00:00.691 ->  BREAK STOP  ~
00:00:00.745 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.797 ->  ERROR OCCUR  ~
00:00:00.850 ->  BREAK STOP  ~
00:00:00.902 ->  ERROR OCCUR  ~
00:00:00.954 ->  BREAK STOP  ~
00:00:00.008 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.062 ->  ERROR OCCUR  ~
00:00:00.113 ->  BREAK STOP  ~
00:00:00.166 ->  ERROR OCCUR  ~
00:00:00.217 ->  BREAK STOP  ~
00:00:00.272 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.325 ->  ERROR OCCUR  ~
00:00:00.379 ->  BREAK STOP  ~
00:00:00.431 ->  ERROR OCCUR  ~
00:00:00.483 ->  BREAK STOP  ~
00:00:00.538 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.591 ->  ERROR OCCUR  ~
00:00:00.643 ->  BREAK STOP  ~
00:00:00.697 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.750 ->  ERROR OCCUR  ~
00:00:00.802 ->  BREAK STOP  ~
00:00:00.854 ->  ERROR OCCUR  ~
00:00:00.906 ->  BREAK STOP  ~
00:00:00.961 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.013 ->  ERROR OCCUR  ~
00:00:00.068 ->  BREAK STOP  ~
00:00:00.120 ->  ERROR OCCUR  ~
00:00:00.173 ->  BREAK STOP  ~
00:00:00.225 ->  ERROR OCCUR  ~
00:00:00.277 ->  BREAK STOP  ~
00:00:00.329 ->  ERROR OCCUR  ~
00:00:00.382 ->  BREAK STOP  ~
00:00:00.434 ->  ERROR OCCUR  ~
00:00:00.486 ->  BREAK STOP  ~
00:00:00.540 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.592 ->  ERROR OCCUR  ~
00:00:00.645 ->  BREAK STOP  ~
00:00:00.699 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.751 ->  ERROR OCCUR  ~
00:00:00.806 ->  BREAK STOP  ~
00:00:00.859 ->  ERROR OCCUR  ~
00:00:00.911 ->  BREAK STOP  ~
00:00:00.963 ->  ERROR OCCUR  ~
00:00:00.015 ->  BREAK STOP  ~
00:00:00.070 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.123 ->  ERROR OCCUR  ~
00:00:00.174 ->  BREAK STOP  ~
00:00:00.228 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.282 ->  ERROR OCCUR  ~
00:00:00.333 ->  BREAK STOP  ~
00:00:00.386 ->  ERROR OCCUR  ~
00:00:00.438 ->  BREAK STOP  ~
00:00:00.491 ->  ERROR OCCUR  ~
00:00:00.545 ->  BREAK STOP  ~
00:00:00.598 ->  ERROR OCCUR  ~
00:00:00.649 ->  BREAK STOP  ~
00:00:00.704 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.757 ->  ERROR OCCUR  ~
00:00:00.808 ->  BREAK STOP  ~
00:00:00.862 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.915 ->  ERROR OCCUR  ~
00:00:00.968 ->  BREAK STOP  ~
00:00:00.020 ->  ERROR OCCUR  ~
00:00:00.072 ->  BREAK STOP  ~
00:00:00.124 ->  ERROR OCCUR  ~
00:00:00.177 ->  BREAK STOP  ~
00:00:00.233 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.286 ->  ERROR OCCUR  ~
00:00:00.337 ->  BREAK STOP  ~
00:00:00.392 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.445 ->  ERROR OCCUR  ~
00:00:00.496 ->  BREAK STOP  ~
00:00:00.548 ->  ERROR OCCUR  ~
00:00:00.601 ->  BREAK STOP  ~
00:00:00.653 ->  ERROR OCCUR  ~
00:00:00.705 ->  BREAK STOP  ~
00:00:00.759 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.811 ->  ERROR OCCUR  ~
00:00:00.864 ->  BREAK STOP  ~
00:00:00.920 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.972 ->  ERROR OCCUR  ~
00:00:00.024 ->  BREAK STOP  ~
00:00:00.077 ->  ERROR OCCUR  ~
00:00:00.129 ->  BREAK STOP  ~
00:00:00.181 ->  ERROR OCCUR  ~
00:00:00.233 ->  BREAK STOP  ~
00:00:00.288 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.340 ->  ERROR OCCUR  ~
00:00:00.391 ->  BREAK STOP  ~
00:00:00.445 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.499 ->  ERROR OCCUR  ~
00:00:00.551 ->  BREAK STOP  ~
00:00:00.610 ->  ERROR OCCUR  ~
00:00:00.662 ->  BREAK STOP  ~
00:00:00.716 ->  ERROR OCCUR  ~
00:00:00.768 ->  BREAK STOP  ~
00:00:00.823 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.875 ->  ERROR OCCUR  ~
00:00:00.939 ->  BREAK STOP  ~
00:00:00.994 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.047 ->  ERROR OCCUR  ~
00:00:00.099 ->  BREAK STOP  ~
00:00:00.154 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.206 ->  ERROR OCCUR  ~
00:00:00.258 ->  BREAK STOP  ~
00:00:00.316 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.369 ->  ERROR OCCUR  ~
00:00:00.421 ->  BREAK STOP  ~
00:00:00.475 ->  (110,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.529 ->  ERROR OCCUR  ~
00:00:00.581 ->  BREAK STOP  ~
00:00:00.635 ->  (112,110,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.688 ->  ERROR OCCUR  ~
00:00:00.741 ->  BREAK STOP  ~
00:00:00.793 ->  ERROR OCCUR  ~
00:00:00.845 ->  BREAK STOP  ~
00:00:00.898 ->  ERROR OCCUR  ~
00:00:00.951 ->  BREAK STOP  ~
00:00:00.007 ->  (110,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.060 ->  ERROR OCCUR  ~
00:00:00.112 ->  BREAK STOP  ~
00:00:00.166 ->  ERROR OCCUR  ~
00:00:00.218 ->  BREAK STOP  ~
00:00:00.272 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.324 ->  ERROR OCCUR  ~
00:00:00.377 ->  BREAK STOP  ~
00:00:00.430 ->  ERROR OCCUR  ~
00:00:00.482 ->  BREAK STOP  ~
00:00:00.535 ->  ERROR OCCUR  ~
00:00:00.588 ->  BREAK STOP  ~
00:00:00.642 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.698 ->  ERROR OCCUR  ~
00:00:00.750 ->  BREAK STOP  ~
00:00:00.803 ->  ERROR OCCUR  ~
00:00:00.855 ->  BREAK STOP  ~
00:00:00.908 ->  ERROR OCCUR  ~
00:00:00.960 ->  BREAK STOP  ~
00:00:00.012 ->  ERROR OCCUR  ~
00:00:00.065 ->  BREAK STOP  ~
00:00:00.118 ->  ERROR OCCUR  ~
00:00:00.170 ->  BREAK STOP  ~
00:00:00.224 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.278 ->  ERROR OCCUR  ~
00:00:00.330 ->  BREAK STOP  ~
00:00:00.384 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.441 ->  ERROR OCCUR  ~
00:00:00.493 ->  BREAK STOP  ~
00:00:00.545 ->  ERROR OCCUR  ~
00:00:00.597 ->  BREAK STOP  ~
00:00:00.652 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.705 ->  ERROR OCCUR  ~
00:00:00.758 ->  BREAK STOP  ~
00:00:00.812 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.864 ->  ERROR OCCUR  ~
00:00:00.917 ->  BREAK STOP  ~
00:00:00.970 ->  ERROR OCCUR  ~
00:00:00.022 ->  BREAK STOP  ~
00:00:00.076 ->  (109,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:00.132 ->  ERROR OCCUR  ~
00:00:00.184 ->  BREAK STOP  ~
00:00:00.239 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.291 ->  ERROR OCCUR  ~
00:00:00.344 ->  BREAK STOP  ~
00:00:00.399 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.451 ->  ERROR OCCUR  ~
00:00:00.503 ->  BREAK STOP  ~
00:00:00.557 ->  ERROR OCCUR  ~
00:00:00.609 ->  BREAK STOP  ~
00:00:00.663 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.716 ->  ERROR OCCUR  ~
00:00:00.769 ->  BREAK STOP  ~
00:00:00.824 ->  ERROR OCCUR  ~
00:00:00.876 ->  BREAK STOP  ~
00:00:00.928 ->  ERROR OCCUR  ~
00:00:00.981 ->  BREAK STOP  ~
00:00:00.034 ->  ERROR OCCUR  ~
00:00:00.086 ->  BREAK STOP  ~
00:00:00.140 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.193 ->  ERROR OCCUR  ~
00:00:00.245 ->  BREAK STOP  ~
00:00:00.299 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.352 ->  ERROR OCCUR  ~
00:00:00.405 ->  BREAK STOP  ~
00:00:00.457 ->  ERROR OCCUR  ~
00:00:00.509 ->  BREAK STOP  ~
00:00:00.564 ->  ERROR OCCUR  ~
00:00:00.617 ->  BREAK STOP  ~
00:00:00.671 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.724 ->  ERROR OCCUR  ~
00:00:00.776 ->  BREAK STOP  ~
00:00:00.831 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.884 ->  ERROR OCCUR  ~
00:00:00.936 ->  BREAK STOP  ~
00:00:00.988 ->  ERROR OCCUR  ~
00:00:00.040 ->  BREAK STOP  ~
00:00:00.093 ->  ERROR OCCUR  ~
00:00:00.145 ->  BREAK STOP  ~
00:00:00.199 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.256 ->  ERROR OCCUR  ~
00:00:00.307 ->  BREAK STOP  ~
00:00:00.362 ->  (108,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:00.415 ->  ERROR OCCUR  ~
