00:00:02.747 ->  SD OK
00:00:02.792 ->  BREAK STOP
00:00:03.044 ->  Controller Set
00:00:04.804 ->  START
00:00:04.839 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.883 ->  Battery :0.79 V
00:00:04.939 ->  Speed:0.00 km/hr 
00:00:05.074 ->  Battery :0.85 V
00:00:05.132 ->  Speed:0.00 km/hr 
00:00:05.166 ->  Battery :0.86 V
00:00:05.222 ->  Speed:0.00 km/hr 
00:00:05.257 ->  Battery :0.85 V
00:00:05.313 ->  Speed:0.00 km/hr 
00:00:05.347 ->  Battery :0.86 V
00:00:05.404 ->  Speed:0.00 km/hr 
00:00:05.445 ->  Battery :0.86 V
00:00:05.501 ->  Speed:0.00 km/hr 
00:00:05.536 ->  Battery :0.85 V
00:00:05.593 ->  Speed:0.00 km/hr 
00:00:05.627 ->  Battery :0.86 V
00:00:05.684 ->  Speed:0.00 km/hr 
00:00:05.719 ->  Battery :0.86 V
00:00:05.775 ->  Speed:0.00 km/hr 
00:00:05.810 ->  Battery :0.86 V
00:00:05.866 ->  Speed:0.00 km/hr 
00:00:05.901 ->  Battery :0.82 V
00:00:05.957 ->  Speed:0.00 km/hr 
00:00:05.992 ->  Battery :0.86 V
00:00:06.048 ->  Speed:0.00 km/hr 
00:00:06.083 ->  Battery :0.87 V
00:00:06.142 ->  Speed:0.00 km/hr 
00:00:06.176 ->  Battery :0.85 V
00:00:06.233 ->  Speed:0.00 km/hr 
00:00:06.267 ->  Battery :0.87 V
00:00:06.324 ->  Speed:0.00 km/hr 
00:00:06.358 ->  Battery :0.87 V
00:00:06.415 ->  Speed:0.00 km/hr 
00:00:06.449 ->  Battery :0.87 V
00:00:06.506 ->  Speed:0.00 km/hr 
00:00:06.540 ->  Battery :0.87 V
00:00:06.597 ->  Speed:0.00 km/hr 
00:00:06.631 ->  Battery :0.86 V
00:00:06.688 ->  Speed:0.00 km/hr 
00:00:06.722 ->  Battery :0.87 V
00:00:06.779 ->  Speed:0.00 km/hr 
00:00:06.875 ->  Battery :0.86 V
00:00:06.931 ->  Speed:0.00 km/hr 
00:00:07.025 ->  Battery :0.86 V
00:00:07.081 ->  Speed:0.00 km/hr 
00:00:07.177 ->  Battery :0.86 V
00:00:07.233 ->  Speed:0.00 km/hr 
00:00:07.327 ->  Battery :0.86 V
00:00:07.384 ->  Speed:0.00 km/hr 
00:00:07.479 ->  Battery :0.86 V
00:00:07.535 ->  Speed:0.00 km/hr 
00:00:07.629 ->  Battery :0.86 V
00:00:07.686 ->  Speed:0.00 km/hr 
00:00:07.780 ->  Battery :0.86 V
00:00:07.836 ->  Speed:0.00 km/hr 
00:00:07.931 ->  Battery :0.86 V
00:00:07.988 ->  Speed:0.00 km/hr 
00:00:08.082 ->  Battery :0.86 V
00:00:08.138 ->  Speed:0.00 km/hr 
00:00:08.233 ->  Battery :0.86 V
00:00:08.291 ->  Speed:0.00 km/hr 
00:00:08.384 ->  Battery :0.83 V
00:00:08.440 ->  Speed:0.00 km/hr 
00:00:08.536 ->  Battery :0.86 V
00:00:08.592 ->  Speed:0.00 km/hr 
00:00:08.686 ->  Battery :0.85 V
00:00:08.742 ->  Speed:0.00 km/hr 
00:00:08.838 ->  Battery :0.85 V
00:00:08.895 ->  Speed:0.00 km/hr 
00:00:08.988 ->  Battery :0.86 V
00:00:09.048 ->  Speed:0.00 km/hr 
00:00:09.140 ->  Battery :0.86 V
00:00:09.197 ->  Speed:0.00 km/hr 
00:00:09.290 ->  Battery :0.86 V
00:00:09.348 ->  Speed:0.00 km/hr 
