00:00:02.707 ->  SD OK
00:00:02.739 ->  BREAK STOP
00:00:02.982 ->  Controller Set
00:00:04.734 ->  START
00:00:04.761 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.796 ->  Battery :0.76 V
00:00:04.844 ->  Speed:0.00 km/hr 
00:00:04.887 ->  Battery :0.79 V
00:00:04.935 ->  Speed:0.00 km/hr 
00:00:04.978 ->  Battery :0.80 V
00:00:05.026 ->  Speed:0.00 km/hr 
00:00:05.069 ->  Battery :0.80 V
00:00:05.117 ->  Speed:0.00 km/hr 
00:00:05.160 ->  Battery :0.79 V
00:00:05.209 ->  Speed:0.00 km/hr 
00:00:05.252 ->  Battery :0.79 V
00:00:05.300 ->  Speed:0.00 km/hr 
00:00:05.343 ->  Battery :0.79 V
00:00:05.391 ->  Speed:0.00 km/hr 
00:00:05.433 ->  Battery :0.79 V
00:00:05.481 ->  Speed:0.00 km/hr 
00:00:05.524 ->  Battery :0.79 V
00:00:05.572 ->  Speed:0.00 km/hr 
00:00:05.615 ->  Battery :0.71 V
00:00:05.663 ->  Speed:0.00 km/hr 
00:00:05.706 ->  Battery :0.79 V
00:00:05.754 ->  Speed:0.00 km/hr 
00:00:05.797 ->  Battery :0.77 V
00:00:05.846 ->  Speed:0.00 km/hr 
00:00:05.889 ->  Battery :0.76 V
00:00:05.940 ->  Speed:0.00 km/hr 
00:00:05.980 ->  Battery :0.80 V
00:00:06.028 ->  Speed:0.00 km/hr 
00:00:06.071 ->  Battery :0.82 V
00:00:06.120 ->  Speed:0.00 km/hr 
00:00:06.161 ->  Battery :0.77 V
00:00:06.210 ->  Speed:0.00 km/hr 
00:00:06.252 ->  Battery :0.80 V
00:00:06.300 ->  Speed:0.00 km/hr 
00:00:06.343 ->  Battery :0.80 V
00:00:06.391 ->  Speed:0.00 km/hr 
00:00:06.449 ->  Battery :0.85 V
00:00:06.497 ->  Speed:0.00 km/hr 
00:00:06.600 ->  Battery :0.79 V
00:00:06.648 ->  Speed:0.00 km/hr 
