00:00:07.936 ->  SD OK
00:00:07.964 ->  BREAK STOP
00:00:08.206 ->  Controller Set
00:00:09.957 ->  START
00:00:09.981 ->  Battery :12.02 V
00:00:10.025 ->  Speed:0.00 km/hr 
00:00:10.163 ->  @20/5/23 10:53:6.98 Bike UNLOCK
00:00:10.185 ->  Battery :12.05 V
00:00:10.230 ->  Battery :12.06 V
00:00:10.274 ->  Battery :11.93 V
00:00:10.319 ->  Battery :12.05 V
00:00:10.364 ->  Battery :11.97 V
00:00:10.409 ->  Battery :12.06 V
00:00:10.454 ->  Battery :12.08 V
00:00:10.499 ->  Battery :12.06 V
00:00:10.544 ->  Battery :12.05 V
00:00:10.654 ->  Battery :12.09 V
00:00:10.799 ->  Battery :12.00 V
00:00:10.942 ->  Battery :12.11 V
00:00:11.086 ->  Battery :12.06 V
00:00:11.366 ->  Battery :12.08 V
00:00:11.518 ->  Battery :12.03 V
00:00:11.668 ->  Battery :12.02 V
00:00:11.821 ->  Battery :12.06 V
00:00:11.970 ->  Battery :11.96 V
00:00:12.122 ->  Battery :12.12 V
00:00:12.273 ->  Battery :12.00 V
00:00:12.424 ->  Battery :12.05 V
00:00:12.575 ->  Battery :12.11 V
00:00:12.726 ->  Battery :12.09 V
00:00:12.877 ->  Battery :12.06 V
00:00:13.179 ->  Battery :12.02 V
00:00:13.329 ->  Battery :11.96 V
00:00:13.481 ->  Battery :12.00 V
00:00:13.631 ->  Battery :11.99 V
00:00:13.784 ->  Battery :12.12 V
00:00:13.933 ->  Battery :12.02 V
00:00:14.085 ->  Battery :12.06 V
00:00:14.538 ->  Battery :11.99 V
00:00:14.689 ->  Battery :12.08 V
00:00:14.840 ->  Battery :11.99 V
00:00:14.990 ->  Battery :12.06 V
00:00:15.142 ->  Battery :12.03 V
00:00:15.293 ->  Battery :12.00 V
00:00:15.446 ->  Battery :12.05 V
00:00:15.595 ->  Battery :11.97 V
00:00:15.748 ->  Battery :12.00 V
00:00:15.898 ->  Battery :12.02 V
00:00:16.049 ->  Battery :12.00 V
00:00:16.200 ->  Battery :11.99 V
00:00:16.351 ->  Battery :12.03 V
00:00:16.502 ->  Battery :12.02 V
00:00:16.652 ->  Battery :12.06 V
00:00:16.804 ->  Battery :12.12 V
00:00:16.954 ->  Battery :12.06 V
00:00:17.106 ->  Battery :12.15 V
00:00:17.256 ->  Battery :12.08 V
00:00:17.409 ->  Battery :12.03 V
00:00:17.558 ->  Battery :12.00 V
00:00:17.711 ->  Battery :11.99 V
00:00:17.862 ->  Battery :11.96 V
00:00:18.013 ->  Battery :12.06 V
00:00:18.164 ->  Battery :12.00 V
00:00:18.315 ->  Battery :11.92 V
00:00:18.466 ->  Battery :12.06 V
00:00:18.616 ->  Battery :12.09 V
00:00:18.768 ->  Battery :11.97 V
00:00:18.918 ->  Battery :12.06 V
00:00:19.070 ->  Battery :11.97 V
00:00:19.220 ->  Battery :12.03 V
00:00:19.373 ->  Battery :12.06 V
00:00:19.522 ->  Battery :12.11 V
00:00:19.674 ->  Battery :12.02 V
00:00:19.825 ->  Battery :12.09 V
00:00:19.977 ->  Battery :12.00 V
00:00:20.128 ->  Battery :12.11 V
00:00:20.278 ->  Battery :11.96 V
00:00:20.430 ->  Battery :12.08 V
00:00:20.580 ->  Battery :12.06 V
00:00:20.732 ->  Battery :12.03 V
00:00:20.882 ->  Battery :12.05 V
00:00:21.035 ->  Battery :12.03 V
00:00:21.337 ->  Battery :12.08 V
00:00:21.487 ->  Battery :12.05 V
00:00:21.638 ->  Battery :11.99 V
00:00:21.789 ->  Battery :12.03 V
00:00:21.940 ->  Battery :11.99 V
00:00:22.091 ->  Battery :11.96 V
00:00:22.241 ->  Battery :12.14 V
00:00:22.393 ->  Battery :12.00 V
00:00:22.543 ->  Battery :12.06 V
00:00:22.695 ->  Battery :12.08 V
00:00:22.845 ->  Battery :12.02 V
00:00:22.998 ->  Battery :11.97 V
00:00:23.147 ->  Battery :12.14 V
00:00:23.300 ->  Battery :11.99 V
00:00:23.450 ->  Battery :12.12 V
00:00:23.601 ->  Battery :12.03 V
00:00:23.752 ->  Battery :12.00 V
00:00:23.903 ->  Battery :11.97 V
00:00:24.054 ->  Battery :12.12 V
00:00:24.248 ->  Battery :12.02 V
00:00:24.399 ->  Battery :12.05 V
00:00:24.701 ->  Battery :11.97 V
00:00:24.853 ->  Battery :12.12 V
00:00:24.915 ->  (97,93,97,93,0.00,100,0)	FORWARD     93　94　95　96　97　
00:00:25.004 ->  Battery :11.97 V
00:00:25.079 ->  (93,97,93,97,0.00,100,0)	BREAK STOPPING 
00:00:25.177 ->  Speed:0.78 km/hr 
00:00:25.299 ->  Battery :11.99 V
00:00:25.464 ->  Speed:0.84 km/hr 
00:00:25.587 ->  Battery :12.06 V
00:00:25.630 ->  Speed:1.12 km/hr 
00:00:25.776 ->  Speed:1.15 km/hr 
00:00:25.920 ->  Speed:1.12 km/hr 
00:00:26.042 ->  Battery :11.99 V
00:00:26.088 ->  Speed:1.09 km/hr 
00:00:26.211 ->  Battery :12.00 V
00:00:26.377 ->  Speed:1.05 km/hr 
00:00:26.500 ->  Battery :12.03 V
00:00:26.544 ->  Speed:1.02 km/hr 
00:00:26.664 ->  Battery :12.02 V
00:00:26.808 ->  Battery :12.08 V
00:00:26.852 ->  Speed:0.93 km/hr 
00:00:26.967 ->  Battery :12.02 V
00:00:27.011 ->  Speed:0.92 km/hr 
00:00:27.240 ->  Battery :12.08 V
00:00:27.284 ->  Speed:0.82 km/hr 
00:00:27.406 ->  Battery :12.06 V
00:00:27.550 ->  Battery :12.03 V
00:00:27.596 ->  Speed:0.73 km/hr 
00:00:27.720 ->  Battery :12.11 V
