00:00:02.698 ->  SD OK
00:00:02.725 ->  BREAK STOP
00:00:02.967 ->  Controller Set
00:00:04.716 ->  START
00:00:04.740 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.772 ->  Battery :12.15 V
00:00:04.815 ->  Speed:0.00 km/hr 
00:00:04.864 ->  Battery :12.14 V
00:00:04.907 ->  Speed:0.00 km/hr 
00:00:04.955 ->  Battery :12.15 V
00:00:04.998 ->  Speed:0.00 km/hr 
00:00:05.045 ->  Battery :12.15 V
00:00:05.089 ->  Speed:0.00 km/hr 
00:00:05.135 ->  Battery :12.14 V
00:00:05.179 ->  Speed:0.00 km/hr 
00:00:05.227 ->  Battery :12.15 V
00:00:05.270 ->  Speed:0.00 km/hr 
00:00:05.318 ->  Battery :12.15 V
00:00:05.361 ->  Speed:0.00 km/hr 
00:00:05.409 ->  Battery :12.15 V
00:00:05.452 ->  Speed:0.00 km/hr 
00:00:05.500 ->  Battery :12.15 V
00:00:05.543 ->  Speed:0.00 km/hr 
00:00:05.592 ->  Battery :12.15 V
00:00:05.635 ->  Speed:0.00 km/hr 
00:00:05.683 ->  Battery :12.14 V
00:00:05.726 ->  Speed:0.00 km/hr 
00:00:05.772 ->  Battery :12.15 V
00:00:05.816 ->  Speed:0.00 km/hr 
00:00:05.863 ->  Battery :12.14 V
00:00:05.910 ->  Speed:0.00 km/hr 
00:00:06.055 ->  (94,93,94,93,0.00,100,0)	BREAK STOPPED 93　94　
00:00:06.087 ->  Battery :12.14 V
00:00:06.131 ->  Speed:0.00 km/hr 
00:00:06.457 ->  (98,94,98,94,0.00,100,0)	FORWARD     94　95　96　97　98　
00:00:06.479 ->  Battery :12.18 V
00:00:06.523 ->  Speed:0.00 km/hr 
00:00:06.669 ->  (100,98,99,98,0.00,100,0)	FORWARD     98　99　
00:00:06.692 ->  Battery :12.14 V
00:00:06.735 ->  Speed:0.00 km/hr 
00:00:06.819 ->  Battery :12.17 V
00:00:06.866 ->  Speed:0.00 km/hr 
00:00:06.949 ->  Battery :12.08 V
00:00:06.993 ->  Speed:0.00 km/hr 
00:00:07.077 ->  Battery :12.02 V
00:00:07.121 ->  Speed:0.00 km/hr 
00:00:07.447 ->  Battery :12.15 V
00:00:07.491 ->  Speed:0.69 km/hr 
00:00:07.575 ->  Battery :12.08 V
00:00:07.619 ->  Speed:1.29 km/hr 
00:00:07.703 ->  Battery :12.08 V
00:00:07.747 ->  Speed:1.76 km/hr 
00:00:07.831 ->  Battery :12.08 V
00:00:07.875 ->  Speed:1.89 km/hr 
00:00:07.958 ->  Battery :12.03 V
00:00:08.005 ->  Speed:2.08 km/hr 
00:00:08.089 ->  Battery :12.06 V
00:00:08.133 ->  Speed:2.17 km/hr 
00:00:08.216 ->  Battery :12.00 V
00:00:08.260 ->  Speed:2.29 km/hr 
00:00:08.344 ->  Battery :12.09 V
00:00:08.388 ->  Speed:2.39 km/hr 
00:00:08.413 ->  (99,100,99,99,2.39,100,0)	FORWARD     
00:00:08.436 ->  Battery :12.06 V
00:00:08.480 ->  Speed:2.51 km/hr 
00:00:08.528 ->  Battery :12.03 V
00:00:08.571 ->  Speed:2.90 km/hr 
00:00:08.634 ->  Battery :12.06 V
00:00:08.677 ->  Speed:2.61 km/hr 
00:00:08.784 ->  Battery :12.06 V
00:00:08.827 ->  Speed:2.71 km/hr 
00:00:08.936 ->  Battery :12.05 V
00:00:08.979 ->  Speed:2.78 km/hr 
00:00:09.086 ->  Battery :12.14 V
00:00:09.129 ->  Speed:2.86 km/hr 
00:00:09.238 ->  Battery :12.08 V
00:00:09.282 ->  Speed:2.90 km/hr 
00:00:09.389 ->  Battery :12.14 V
00:00:09.433 ->  Speed:2.94 km/hr 
00:00:09.518 ->  (100,99,99,99,2.94,100,0)	FORWARD     99　
00:00:09.541 ->  Battery :12.06 V
00:00:09.585 ->  Speed:2.99 km/hr 
00:00:09.691 ->  Battery :12.06 V
00:00:09.737 ->  Speed:3.08 km/hr 
00:00:09.842 ->  Battery :12.14 V
00:00:09.886 ->  Speed:3.08 km/hr 
00:00:09.993 ->  Battery :12.05 V
00:00:10.037 ->  Speed:3.08 km/hr 
00:00:10.144 ->  Battery :12.08 V
00:00:10.188 ->  Speed:3.12 km/hr 
00:00:10.295 ->  Battery :12.05 V
00:00:10.339 ->  Speed:3.12 km/hr 
00:00:10.445 ->  Battery :12.05 V
00:00:10.489 ->  Speed:3.08 km/hr 
00:00:10.696 ->  (101,100,101,99,3.08,100,0)	FORWARD     99　100　101　
00:00:10.720 ->  Battery :12.05 V
00:00:10.766 ->  Speed:3.08 km/hr 
00:00:11.036 ->  (105,101,104,101,3.08,100,0)	FORWARD     101　102　103　104　
00:00:11.059 ->  Battery :12.00 V
00:00:11.103 ->  Speed:3.08 km/hr 
00:00:11.200 ->  Battery :11.92 V
00:00:11.244 ->  Speed:3.22 km/hr 
00:00:11.329 ->  Battery :11.99 V
00:00:11.373 ->  Speed:3.55 km/hr 
00:00:11.457 ->  Battery :11.99 V
00:00:11.501 ->  Speed:4.29 km/hr 
00:00:11.586 ->  Battery :11.97 V
00:00:11.630 ->  Speed:5.03 km/hr 
00:00:11.715 ->  Battery :11.93 V
00:00:11.761 ->  Speed:5.73 km/hr 
00:00:11.786 ->  (104,105,104,104,5.73,100,0)	FORWARD     
00:00:11.808 ->  Battery :11.99 V
00:00:11.852 ->  Speed:6.06 km/hr 
00:00:11.986 ->  (101,104,101,104,6.06,100,0)	FORWARD     104　103　102　101　
00:00:12.009 ->  Battery :12.03 V
00:00:12.053 ->  Speed:6.44 km/hr 
00:00:12.108 ->  (93,101,93,101,6.44,100,0)	BREAK STOPPING 
00:00:12.141 ->  Battery :12.03 V
00:00:12.185 ->  Speed:6.87 km/hr 
00:00:12.232 ->  Battery :12.00 V
00:00:12.276 ->  Speed:7.11 km/hr 
00:00:12.322 ->  Battery :12.02 V
00:00:12.366 ->  Speed:7.11 km/hr 
00:00:12.414 ->  Battery :11.96 V
00:00:12.459 ->  Speed:7.11 km/hr 
00:00:12.562 ->  Battery :12.06 V
00:00:12.606 ->  Speed:6.87 km/hr 
00:00:12.712 ->  Battery :12.06 V
00:00:12.756 ->  Speed:7.11 km/hr 
00:00:12.864 ->  Battery :12.06 V
00:00:12.908 ->  Speed:6.65 km/hr 
00:00:13.015 ->  Battery :12.02 V
00:00:13.059 ->  Speed:6.65 km/hr 
00:00:13.166 ->  Battery :12.08 V
00:00:13.210 ->  Speed:6.65 km/hr 
00:00:13.318 ->  Battery :12.06 V
00:00:13.361 ->  Speed:6.65 km/hr 
00:00:13.469 ->  Battery :12.08 V
00:00:13.512 ->  Speed:6.87 km/hr 
00:00:13.620 ->  Battery :12.09 V
00:00:13.663 ->  Speed:6.65 km/hr 
00:00:13.771 ->  Battery :12.09 V
00:00:13.815 ->  Speed:6.44 km/hr 
00:00:13.922 ->  Battery :12.09 V
00:00:13.965 ->  Speed:6.65 km/hr 
00:00:14.073 ->  Battery :12.09 V
00:00:14.117 ->  Speed:6.65 km/hr 
00:00:14.224 ->  Battery :12.09 V
00:00:14.268 ->  Speed:6.44 km/hr 
00:00:14.374 ->  Battery :12.08 V
00:00:14.420 ->  Speed:6.25 km/hr 
00:00:14.526 ->  Battery :12.09 V
00:00:14.570 ->  Speed:6.25 km/hr 
00:00:14.676 ->  Battery :12.09 V
00:00:14.721 ->  Speed:6.44 km/hr 
00:00:14.828 ->  Battery :12.06 V
00:00:14.872 ->  Speed:6.44 km/hr 
00:00:14.979 ->  Battery :12.08 V
00:00:15.023 ->  Speed:6.44 km/hr 
00:00:15.130 ->  Battery :12.09 V
00:00:15.174 ->  Speed:6.44 km/hr 
00:00:15.281 ->  Battery :12.06 V
00:00:15.325 ->  Speed:6.44 km/hr 
00:00:15.432 ->  Battery :12.06 V
00:00:15.478 ->  Speed:6.25 km/hr 
00:00:15.583 ->  Battery :12.09 V
00:00:15.627 ->  Speed:5.89 km/hr 
00:00:15.734 ->  Battery :12.09 V
00:00:15.778 ->  Speed:6.06 km/hr 
00:00:15.885 ->  Battery :12.11 V
00:00:15.929 ->  Speed:5.89 km/hr 
00:00:16.036 ->  Battery :12.11 V
00:00:16.080 ->  Speed:6.06 km/hr 
00:00:16.301 ->  Battery :12.11 V
00:00:16.345 ->  Speed:5.89 km/hr 
00:00:16.468 ->  Battery :12.12 V
00:00:16.513 ->  Speed:6.06 km/hr 
00:00:16.636 ->  Battery :12.11 V
00:00:16.680 ->  Speed:5.73 km/hr 
00:00:16.794 ->  Battery :12.12 V
00:00:16.838 ->  Speed:5.73 km/hr 
00:00:16.945 ->  Battery :12.09 V
00:00:16.989 ->  Speed:5.89 km/hr 
00:00:17.096 ->  Battery :12.08 V
00:00:17.140 ->  Speed:5.73 km/hr 
00:00:17.247 ->  Battery :12.08 V
00:00:17.291 ->  Speed:5.73 km/hr 
00:00:17.398 ->  Battery :12.08 V
00:00:17.442 ->  Speed:5.73 km/hr 
00:00:17.549 ->  Battery :12.09 V
00:00:17.593 ->  Speed:5.57 km/hr 
00:00:17.700 ->  Battery :12.09 V
00:00:17.744 ->  Speed:5.57 km/hr 
00:00:17.851 ->  Battery :12.11 V
00:00:17.895 ->  Speed:5.43 km/hr 
00:00:18.002 ->  Battery :12.11 V
00:00:18.046 ->  Speed:5.57 km/hr 
00:00:18.153 ->  Battery :12.11 V
00:00:18.197 ->  Speed:5.43 km/hr 
00:00:18.304 ->  Battery :12.11 V
00:00:18.348 ->  Speed:5.43 km/hr 
00:00:18.455 ->  Battery :12.12 V
00:00:18.499 ->  Speed:5.29 km/hr 
00:00:18.606 ->  Battery :12.09 V
00:00:18.650 ->  Speed:5.43 km/hr 
00:00:18.757 ->  Battery :12.12 V
00:00:18.801 ->  Speed:5.29 km/hr 
00:00:18.908 ->  Battery :12.09 V
00:00:18.952 ->  Speed:5.29 km/hr 
00:00:19.060 ->  Battery :12.11 V
00:00:19.103 ->  Speed:5.29 km/hr 
00:00:19.211 ->  Battery :12.09 V
00:00:19.254 ->  Speed:5.29 km/hr 
00:00:19.362 ->  Battery :12.11 V
00:00:19.405 ->  Speed:5.03 km/hr 
00:00:19.512 ->  Battery :12.09 V
00:00:19.556 ->  Speed:4.79 km/hr 
00:00:19.664 ->  Battery :12.09 V
00:00:19.707 ->  Speed:4.48 km/hr 
00:00:19.815 ->  Battery :12.05 V
00:00:19.858 ->  Speed:4.12 km/hr 
00:00:19.966 ->  Battery :12.06 V
00:00:20.013 ->  Speed:3.89 km/hr 
00:00:20.117 ->  Battery :12.11 V
00:00:20.160 ->  Speed:3.62 km/hr 
00:00:20.268 ->  Battery :12.11 V
00:00:20.311 ->  Speed:3.38 km/hr 
00:00:20.419 ->  Battery :12.11 V
00:00:20.463 ->  Speed:3.12 km/hr 
00:00:20.570 ->  Battery :12.11 V
00:00:20.614 ->  Speed:2.75 km/hr 
00:00:20.721 ->  Battery :12.09 V
00:00:20.765 ->  Speed:1.98 km/hr 
00:00:20.872 ->  Battery :12.11 V
00:00:20.916 ->  Speed:1.42 km/hr 
00:00:21.023 ->  Battery :12.09 V
