00:00:02.822 ->  SD OK~
00:00:02.897 ->  BREAK STOP~
00:00:03.151 ->  Controller Err~
00:00:04.407 ->  START~
00:00:04.460 ->  ERROR OCCUR  ~
00:00:04.511 ->  BREAK STOP  ~
00:00:04.567 ->  (123,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:04.619 ->  ERROR OCCUR  ~
00:00:04.671 ->  BREAK STOP  ~
00:00:04.725 ->  (110,123,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.779 ->  ERROR OCCUR  ~
00:00:04.831 ->  BREAK STOP  ~
00:00:04.885 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.938 ->  ERROR OCCUR  ~
00:00:04.993 ->  BREAK STOP  ~
00:00:05.047 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.100 ->  ERROR OCCUR  ~
00:00:05.152 ->  BREAK STOP  ~
00:00:05.206 ->  ERROR OCCUR  ~
00:00:05.258 ->  BREAK STOP  ~
00:00:05.312 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.365 ->  ERROR OCCUR  ~
00:00:05.417 ->  BREAK STOP  ~
00:00:05.470 ->  ERROR OCCUR  ~
00:00:05.522 ->  BREAK STOP  ~
00:00:05.577 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.629 ->  ERROR OCCUR  ~
00:00:05.685 ->  BREAK STOP  ~
00:00:05.739 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.792 ->  ERROR OCCUR  ~
00:00:05.844 ->  BREAK STOP  ~
00:00:05.898 ->  ERROR OCCUR  ~
00:00:05.950 ->  BREAK STOP  ~
00:00:06.004 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.057 ->  ERROR OCCUR  ~
00:00:06.110 ->  BREAK STOP  ~
00:00:06.164 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.217 ->  ERROR OCCUR  ~
00:00:06.269 ->  BREAK STOP  ~
00:00:06.322 ->  ERROR OCCUR  ~
00:00:06.377 ->  BREAK STOP  ~
00:00:06.431 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.484 ->  ERROR OCCUR  ~
00:00:06.537 ->  BREAK STOP  ~
00:00:06.590 ->  ERROR OCCUR  ~
00:00:06.642 ->  BREAK STOP  ~
00:00:06.694 ->  ERROR OCCUR  ~
00:00:06.747 ->  BREAK STOP  ~
00:00:06.800 ->  ERROR OCCUR  ~
00:00:06.852 ->  BREAK STOP  ~
00:00:06.906 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.960 ->  ERROR OCCUR  ~
00:00:07.012 ->  BREAK STOP  ~
00:00:07.066 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
