00:00:02.688 ->  SD OK
00:00:02.709 ->  BREAK STOP
00:00:02.946 ->  Controller Set
00:00:04.688 ->  START
00:00:04.707 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED 
00:00:04.733 ->  Battery :12.24 V
00:00:04.955 ->  Battery :12.22 V
00:00:05.161 ->  Battery :12.27 V
00:00:05.367 ->  Battery :12.28 V
00:00:05.573 ->  Battery :12.27 V
00:00:05.779 ->  Battery :12.15 V
00:00:06.802 ->  Battery :12.25 V
00:00:07.726 ->  Battery :12.24 V
00:00:08.745 ->  Battery :12.21 V
00:00:09.776 ->  Battery :12.18 V
00:00:10.799 ->  Battery :12.14 V
00:00:11.826 ->  Battery :12.28 V
00:00:12.852 ->  Battery :12.30 V
00:00:13.775 ->  Battery :12.24 V
00:00:14.798 ->  Battery :12.30 V
00:00:15.822 ->  Battery :12.14 V
00:00:16.845 ->  Battery :12.24 V
00:00:17.868 ->  Battery :12.31 V
00:00:18.892 ->  Battery :12.11 V
00:00:19.819 ->  Battery :12.31 V
00:00:20.842 ->  Battery :12.28 V
00:00:21.869 ->  Battery :12.30 V
00:00:22.886 ->  Battery :12.28 V
00:00:23.912 ->  Battery :12.28 V
00:00:24.939 ->  Battery :12.21 V
00:00:25.859 ->  Battery :12.19 V
00:00:26.889 ->  Battery :12.27 V
00:00:27.912 ->  Battery :12.19 V
00:00:28.942 ->  Battery :12.30 V
00:00:29.965 ->  Battery :12.27 V
00:00:30.989 ->  Battery :12.28 V
00:00:31.908 ->  Battery :12.31 V
00:00:32.929 ->  Battery :12.30 V
00:00:33.955 ->  Battery :12.28 V
00:00:34.978 ->  Battery :12.22 V
00:00:36.005 ->  Battery :12.28 V
00:00:37.028 ->  Battery :12.28 V
00:00:37.949 ->  Battery :12.30 V
00:00:38.976 ->  Battery :12.27 V
00:00:39.996 ->  Battery :12.24 V
00:00:41.022 ->  Battery :12.30 V
00:00:42.049 ->  Battery :12.14 V
00:00:43.075 ->  Battery :12.30 V
00:00:43.999 ->  Battery :12.21 V
00:00:45.025 ->  Battery :12.19 V
00:00:46.052 ->  Battery :12.25 V
00:00:47.078 ->  Battery :12.25 V
00:00:48.105 ->  Battery :12.25 V
00:00:49.026 ->  Battery :12.30 V
00:00:50.052 ->  Battery :12.28 V
00:00:51.072 ->  Battery :12.27 V
00:00:52.096 ->  Battery :12.27 V
00:00:53.122 ->  Battery :12.28 V
00:00:54.145 ->  Battery :12.18 V
00:00:55.071 ->  Battery :12.25 V
00:00:56.092 ->  Battery :12.19 V
00:00:57.115 ->  Battery :12.21 V
00:00:58.139 ->  Battery :12.28 V
00:00:59.162 ->  Battery :12.19 V
00:00:60.191 ->  Battery :12.21 V
00:01:01.112 ->  Battery :12.30 V
00:01:02.142 ->  Battery :12.19 V
00:01:03.165 ->  Battery :12.27 V
00:01:04.194 ->  Battery :12.31 V
00:01:05.215 ->  Battery :12.12 V
00:01:06.238 ->  Battery :12.27 V
00:01:07.162 ->  Battery :12.30 V
00:01:08.182 ->  Battery :12.22 V
00:01:09.209 ->  Battery :12.19 V
00:01:10.232 ->  Battery :12.22 V
00:01:11.256 ->  Battery :12.24 V
00:01:12.282 ->  Battery :12.22 V
00:01:13.199 ->  Battery :12.22 V
00:01:14.222 ->  Battery :12.30 V
00:01:15.249 ->  Battery :12.24 V
00:01:16.272 ->  Battery :12.24 V
00:01:17.301 ->  Battery :12.30 V
00:01:18.325 ->  Battery :12.24 V
00:01:19.252 ->  Battery :12.30 V
00:01:20.275 ->  Battery :12.27 V
00:01:21.305 ->  Battery :12.21 V
00:01:22.328 ->  Battery :12.22 V
00:01:23.357 ->  Battery :12.24 V
00:01:24.278 ->  Battery :12.30 V
00:01:25.302 ->  Battery :12.24 V
00:01:26.325 ->  Battery :12.27 V
00:01:27.345 ->  Battery :12.30 V
00:01:28.372 ->  Battery :12.21 V
00:01:29.398 ->  Battery :12.27 V
00:01:30.321 ->  Battery :12.25 V
00:01:31.344 ->  Battery :12.28 V
00:01:32.365 ->  Battery :12.22 V
00:01:33.388 ->  Battery :12.30 V
00:01:34.414 ->  Battery :12.15 V
00:01:35.441 ->  Battery :12.17 V
00:01:36.365 ->  Battery :12.31 V
00:01:37.391 ->  Battery :12.18 V
00:01:38.418 ->  Battery :12.28 V
00:01:39.441 ->  Battery :12.14 V
00:01:40.467 ->  Battery :12.30 V
00:01:41.488 ->  Battery :12.27 V
00:01:42.412 ->  Battery :12.28 V
00:01:43.435 ->  Battery :12.22 V
00:01:44.458 ->  Battery :12.28 V
00:01:45.485 ->  Battery :12.22 V
00:01:46.508 ->  Battery :12.25 V
00:01:47.532 ->  Battery :12.25 V
00:01:48.451 ->  Battery :12.27 V
00:01:49.472 ->  Battery :12.27 V
00:01:50.498 ->  Battery :12.12 V
00:01:51.525 ->  Battery :12.31 V
00:01:52.555 ->  Battery :12.27 V
00:01:53.577 ->  Battery :12.30 V
00:01:54.504 ->  Battery :12.25 V
00:01:55.528 ->  Battery :12.24 V
00:01:56.554 ->  Battery :12.30 V
00:01:57.581 ->  Battery :12.25 V
00:01:58.607 ->  Battery :12.30 V
00:01:59.630 ->  Battery :12.27 V
00:00:120.551 ->  Battery :12.25 V
00:02:01.578 ->  Battery :12.18 V
00:02:02.598 ->  Battery :12.14 V
00:02:03.624 ->  Battery :12.17 V
00:02:04.651 ->  Battery :12.24 V
00:02:05.674 ->  Battery :12.28 V
00:02:06.598 ->  Battery :12.30 V
00:02:07.614 ->  Battery :12.30 V
00:02:08.642 ->  Battery :12.19 V
