00:00:03.249 ->  SD OK~
00:00:03.324 ->  BREAK STOP~
00:00:03.578 ->  Controller Err~
00:00:04.835 ->  START~
00:00:04.887 ->  ERROR OCCUR  ~
00:00:04.939 ->  BREAK STOP  ~
00:00:04.994 ->  (123,92,94,92,0.00,100,1)	BREAK STOPPED 94~
00:00:05.047 ->  ERROR OCCUR  ~
00:00:05.099 ->  BREAK STOP  ~
00:00:05.153 ->  (110,123,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.206 ->  ERROR OCCUR  ~
00:00:05.258 ->  BREAK STOP  ~
00:00:05.312 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.365 ->  ERROR OCCUR  ~
00:00:05.421 ->  BREAK STOP  ~
00:00:05.475 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.528 ->  ERROR OCCUR  ~
00:00:05.580 ->  BREAK STOP  ~
00:00:05.633 ->  ERROR OCCUR  ~
00:00:05.685 ->  BREAK STOP  ~
00:00:05.740 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.792 ->  ERROR OCCUR  ~
00:00:05.844 ->  BREAK STOP  ~
00:00:05.898 ->  ERROR OCCUR  ~
00:00:05.950 ->  BREAK STOP  ~
00:00:06.005 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.057 ->  ERROR OCCUR  ~
00:00:06.113 ->  BREAK STOP  ~
00:00:06.167 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.220 ->  ERROR OCCUR  ~
00:00:06.273 ->  BREAK STOP  ~
00:00:06.327 ->  (108,107,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:06.380 ->  ERROR OCCUR  ~
00:00:06.432 ->  BREAK STOP  ~
00:00:06.487 ->  (110,108,94,94,0.00,100,0)	BREAK STOPPED ~
00:00:06.540 ->  ERROR OCCUR  ~
00:00:06.592 ->  BREAK STOP  ~
00:00:06.646 ->  (111,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.700 ->  ERROR OCCUR  ~
00:00:06.755 ->  BREAK STOP  ~
00:00:06.809 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.862 ->  ERROR OCCUR  ~
00:00:06.915 ->  BREAK STOP  ~
00:00:06.969 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.022 ->  ERROR OCCUR  ~
00:00:07.074 ->  BREAK STOP  ~
00:00:07.129 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.182 ->  ERROR OCCUR  ~
00:00:07.234 ->  BREAK STOP  ~
00:00:07.287 ->  ERROR OCCUR  ~
00:00:07.340 ->  BREAK STOP  ~
00:00:07.394 ->  (107,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.450 ->  ERROR OCCUR  ~
00:00:07.502 ->  BREAK STOP  ~
00:00:07.555 ->  ERROR OCCUR  ~
00:00:07.607 ->  BREAK STOP  ~
00:00:07.662 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.715 ->  ERROR OCCUR  ~
00:00:07.768 ->  BREAK STOP  ~
00:00:07.822 ->  (107,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.875 ->  ERROR OCCUR  ~
00:00:07.927 ->  BREAK STOP  ~
00:00:07.980 ->  ERROR OCCUR  ~
00:00:08.032 ->  BREAK STOP  ~
00:00:08.085 ->  ERROR OCCUR  ~
00:00:08.140 ->  BREAK STOP  ~
00:00:08.195 ->  (106,107,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.248 ->  ERROR OCCUR  ~
00:00:08.300 ->  BREAK STOP  ~
00:00:08.352 ->  ERROR OCCUR  ~
00:00:08.406 ->  BREAK STOP  ~
00:00:08.458 ->  ERROR OCCUR  ~
00:00:08.510 ->  BREAK STOP  ~
00:00:08.565 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.617 ->  ERROR OCCUR  ~
00:00:08.670 ->  BREAK STOP  ~
00:00:08.725 ->  (106,105,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.778 ->  ERROR OCCUR  ~
00:00:08.833 ->  BREAK STOP  ~
00:00:08.886 ->  ERROR OCCUR  ~
00:00:08.938 ->  BREAK STOP  ~
00:00:08.991 ->  ERROR OCCUR  ~
00:00:09.043 ->  BREAK STOP  ~
00:00:09.098 ->  (105,106,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.151 ->  ERROR OCCUR  ~
00:00:09.203 ->  BREAK STOP  ~
